好的	OK
垫子	cushion; mat; pad
三文鱼	salmon (loanword)
饲养	to raise; to rear
索取	to ask; to demand
挺拔	tall and straight
团圆	to have a reunion
微观	micro-; subatomic
乡镇	village; township
摘要	summary; abstract
战役	military campaign
支流	tributary (river)
做主	see 作主[zuo4 zhu3]
小时候	in one's childhood
把手	handle; grip; knob
打扫	to clean; to sweep
学校	school; CL:所[suo3]
保姆	nanny; housekeeper
不再	no more; no longer
打折	to give a discount
悲哀	grieved; sorrowful
不仅仅	not only; not just
水果	fruit; CL:個|个[ge4]
衬衣	shirt; CL:件[jian4]
涂防晒霜	to apply sunscreen
敌人	enemy; CL:個|个[ge4]
儿童	child; CL:個|个[ge4]
多亏	thanks to; luckily
打破	to break; to smash
学习	to learn; to study
大型	large; large-scale
聊天	to chat; to gossip
船只	ship; boat; vessel
海洋	ocean; CL:個|个[ge4]
护士	nurse; CL:個|个[ge4]
单一	single; only; sole
裁缝	tailor; dressmaker
一般来说	generally speaking
价格	price; CL:個|个[ge4]
来到	to arrive; to come
动机	motive; motivation
头发	hair (on the head)
动画	animation; cartoon
华氏度	degrees Fahrenheit
符号	symbol; mark; sign
那边	over there; yonder
拥抱	to embrace; to hug
招手	to wave; to beckon
有名	famous; well-known
公告	post; announcement
自己	oneself; one's own
女票	(slang) girlfriend
歌词	song lyric; lyrics
号召	to call; to appeal
合并	to merge; to annex
能干	capable; competent
摧残	to ravage; to ruin
过新年	celebrate New Year
打扫	to clean; to sweep
手机应用	mobile application
小朋友	child; CL:個|个[ge4]
火箭	rocket; CL:枚[mei2]
伤害	to injure; to harm
我都喜欢	I like all of them
类似	similar; analogous
人口	population; people
羡慕	to envy; to admire
相反	opposite; contrary
二氧化碳	carbon dioxide CO2
漫长	very long; endless
门诊	outpatient service
面子	(medicinal) powder
防御	defense; to defend
皮包	handbag; briefcase
疫情	epidemic situation
培育	to train; to breed
抽象意思	figurative meaning
运气	luck (good or bad)
敲门	to knock on a door
一部电影	a movie (the item)
干旱	drought; arid; dry
心里	chest; heart; mind
专家	expert; specialist
忍受	to bear; to endure
宫殿	palace; CL:座[zuo4]
求职	to seek employment
英文	English (language)
英语	English (language)
试图	to attempt; to try
雇佣	to employ; to hire
棍棒	club; staff; stick
推销	to market; to sell
薯片	fried potato chips
水泥	cement; CL:袋[dai4]
仅供参考	for reference only
违反	to violate (a law)
花瓣	petal; CL:片[pian4]
相互	each other; mutual
文艺	literature and art
聖誕趴	n. Christmas party
荒谬	absurd; ridiculous
辉煌	splendid; glorious
先前	before; previously
新型	new type; new kind
学时	class hour; period
演技很好	good acting skills
外观	outward appearance
协议书	contract; protocol
外资	foreign investment
印刷	to print; printing
凶手	murderer; assassin
选拔	to select the best
词根	(linguistics) root
缴纳	to pay (taxes etc)
结局	conclusion; ending
足够	enough; sufficient
珍珠	pearl; CL:顆|颗[ke1]
真理	truth; CL:個|个[ge4]
之外	outside; excluding
吃素	to be a vegetarian
欧盟	European Union; EU
占据	to occupy; to hold
卡通	cartoon (loanword)
知名	well-known; famous
政府干部	government officer
柱子	pillar; CL:根[gen1]
专用	special; dedicated
冷酷	unfeeling; callous
人情美	beauty of humanity
小柴胡	medicine for fever
山脚	foot of a mountain
聋哑	deaf and nonverbal
掠夺	to plunder; to rob
主流文化	Mainstream culture
密度	density; thickness
电子产品	electronic product
敏锐	keen; sharp; acute
眼影盘	eye shadow palette
拿手	expert in; good at
剧透	plot leak; spoiler
一般就说	Generally speaking
蜘蛛网	cobweb; spider web
圈套	trap; snare; trick
擅自	without permission
才华	talent; CL:份[fen4]
有市场	popular (business)
金门大桥	Golden Gate Bridge
审判	a trial; to try sb
省会	provincial capital
实质	substance; essence
野兽	beast; wild animal
双胞胎	twin; CL:對|对[dui4]
司令	commanding officer
天赋	gift; innate skill
无非	only; nothing else
谢绝	to refuse politely
寓言	fable; CL:則|则[ze2]
真挚	sincere; sincerity
嘱咐	to urge; to exhort
按摩	massage; to massage
百货	general merchandise
封印	seal (on envelopes)
写完作业	Finish the homework
不能不	have to; cannot but
采纳	to accept; to adopt
当时	at once; right away
欢迎	to welcome; welcome
硬核	hardcore; hard core
独特	unique; distinctive
对待	to treat; treatment
法院	court of law; court
冬天	winter; CL:個|个[ge4]
到达	to reach; to arrive
离开	to depart; to leave
隔壁	next door; neighbor
船员	sailor; crew member
小言	n. Romantic fiction
短裤	short pants; shorts
鼓掌	to applaud; to clap
好像	as if; to seem like
才干	ability; competence
瓶子	bottle; CL:個|个[ge4]
当年	that very same year
大道	main street; avenue
大批	large quantities of
等级	grade; rank; status
世界	world (CL:個|个[ge4])
慌张	flustered; agitated
降落	to descend; to land
地名	place name; toponym
干吗	see 幹嘛|干嘛[gan4 ma2]
坏人	bad person; villain
举办	to conduct; to hold
熊猫	panda; CL:隻|只[zhi1]
反抗	to resist; to rebel
老虎	tiger; CL:隻|只[zhi1]
拿去	to get (for others)
购买	to purchase; to buy
力气	strength; CL:把[ba3]
父女	father and daughter
充沛	abundant; plentiful
顾问	adviser; consultant
后年	the year after next
请坐	please, have a seat
眉毛	eyebrow; CL:根[gen1]
暖和	warm; nice and warm
入口	entrance; to import
森林	forest; CL:片[pian4]
好似	to seem; to be like
青春	youth; youthfulness
剪刀	scissors; CL:把[ba3]
八宝汤	Eight treasure soup
如何	how; what way; what
软件	(computer) software
具有	to have; to possess
神秘	mysterious; mystery
星期日	Sunday; CL:個|个[ge4]
星期天	Sunday; CL:個|个[ge4]
孙子	grandson; son's son
看出	to make out; to see
乐观	optimistic; hopeful
输入	to import; to input
还没想好	haven't decided yet
秋天	autumn; CL:個|个[ge4]
预习	to prepare a lesson
列为	to be classified as
政治	politics; political
开头	beginning; to start
系统	system; CL:個|个[ge4]
抗议	to protest; protest
香肠	sausage; CL:根[gen1]
模范	model; fine example
虚心	open-minded; humble
天上	celestial; heavenly
允许	to permit; to allow
陆军	army; ground forces
只要	if only; so long as
夏天	summer; CL:個|个[ge4]
强迫	to compel; to force
奶牛	milk cow; dairy cow
晴朗	sunny and cloudless
身高	(a person's) height
如此	like this; so; such
一件衣服	a piece of clothing
沙漠	desert; CL:個|个[ge4]
收音机	radio; CL:臺|台[tai2]
升高	to raise; to ascend
银行卡	bank card; ATM card
彩虹	rainbow; CL:道[dao4]
丧失	to lose; to forfeit
藏起来	hide (something) up
听众	audience; listeners
水灾	flood; flood damage
设计师	designer; architect
器材	equipment; material
中心	center; heart; core
周年	anniversary; annual
同行	to journey together
同一	identical; the same
悔恨	remorse; repentance
选手	athlete; contestant
途径	way; means; channel
迅速	rapid; speedy; fast
化学	chemistry; chemical
危机	crisis; CL:個|个[ge4]
刷剧	to binge-watch (TV)
许可	to allow; to permit
摇头	to shake one's head
一句话	in a word; in short
拥有	to have; to possess
有着	to have; to possess
羽绒服	down-filled garment
搅拌	to stir; to agitate
侥幸	luckily; by a fluke
重量	weight; CL:個|个[ge4]
陌生	strange; unfamiliar
越南	Vietnam; Vietnamese
职位	position; post; job
乐曲	musical composition
砍伐	to hew; to cut down
资本	capital (economics)
政策	policy; CL:個|个[ge4]
之类	and so on; and such
治病	to treat an illness
链接	link (on a website)
白大褂	doctor's white coat
轮廓	outline; silhouette
过马路	to cross the street
情侣	sweethearts; lovers
拉伸	to draw; to stretch
侵略	to invade; invasion
外貌	profile; appearance
政府官员	government employee
审美标准	Aesthetic standards
迁徙	to migrate; to move
外在	external; extrinsic
笔名	pen name; pseudonym
求婚	to propose marriage
弱点	weak point; failing
性情	nature; temperament
授予	to award; to confer
书面	in writing; written
探测	to probe; to survey
妥善	appropriate; proper
顽固	stubborn; obstinate
无知	ignorant; ignorance
向来	always (previously)
耀眼	to dazzle; dazzling
责怪	to blame; to rebuke
增添	to add; to increase
招收	to hire; to recruit
中立	neutral; neutrality
皱纹	wrinkle; CL:道[dao4]
被子	quilt; CL:床[chuang2]
漫改	adapted from a manga
报答	to repay; to requite
本地	local; this locality
打屁股	to spank sb's bottom
不少	many; a lot; not few
旁边	side; adjacent place
复杂	complicated; complex
丈夫	husband; CL:個|个[ge4]
遍地	everywhere; all over
抱负	aspiration; ambition
上午	morning; CL:個|个[ge4]
报酬	reward; remuneration
除夕	lunar New Year's Eve
学生	student; schoolchild
贝壳	shell (of a mollusk)
潮流	tide; current; trend
飞机	airplane; CL:架[jia4]
地址	address; CL:個|个[ge4]
分开	to separate; to part
发表	to issue; to publish
出于	due to; to stem from
城乡	city and countryside
波涛	great waves; billows
等待	to wait; to wait for
多云	cloudy (meteorology)
功能	function; capability
创意	creative; creativity
歌单	playlist; song sheet
买菜	buy food ingredients
裙子	skirt; CL:條|条[tiao2]
即使	even if; even though
猴子	monkey; CL:隻|只[zhi1]
等候	to wait; to wait for
大师	great master; master
课本	textbook; CL:本[ben3]
广场	public square; plaza
电饭锅	electric rice cooker
过来	see 過來|过来[guo4 lai2]
刷牙	to brush one's teeth
假装	to feign; to pretend
法规	legislation; statute
画家	painter; CL:個|个[ge4]
角度	angle; point of view
摄氏度	°C (degrees Celsius)
金色	golden; gold (color)
高原	plateau; CL:片[pian4]
客观	objective; impartial
教师	teacher; CL:個|个[ge4]
随便吃吧	help yourself to eat
毛巾	towel; CL:條|条[tiao2]
高峰	peak; summit; height
面对	to face; to confront
牛仔裤	jeans; CL:條|条[tiao2]
农业	agriculture; farming
她们	they; them (females)
能量	energy; capabilities
旅游攻略	travelling guideline
社会	society; CL:個|个[ge4]
去世	to pass away; to die
官方灯泡	Official Third Wheel
那样	that kind; that sort
世纪	century; CL:個|个[ge4]
皇帝	emperor; CL:個|个[ge4]
回应	to respond; response
稻谷	unhusked rice; paddy
剧场	theater; CL:個|个[ge4]
警告	to warn; to admonish
居民	resident; inhabitant
假日	a holiday; a day off
石头	stone; CL:塊|块[kuai4]
前年	the year before last
细节	details; particulars
晴天	clear sky; sunny day
课题	task; problem; issue
淘气	naughty; mischievous
西红柿	tomato; CL:隻|只[zhi1]
堵塞	to clog up; blockage
列入	to include on a list
食物	food; CL:種|种[zhong3]
许多	many; a lot of; much
煤气	coal gas; gas (fuel)
冰雕节	Ice carving festival
难度	degree of difficulty
喜聞樂見	Love to see and hear
反驳	to retort; to refute
男性	the male sex; a male
名人	personage; celebrity
纺织	spinning and weaving
农产品	agricultural produce
诽谤	to slander; to libel
流量小生	n. Traffic+young man
否决	to veto; to overrule
回答问题	answer the questions
整个	whole; entire; total
智慧	wisdom; intelligence
派出	to send; to dispatch
尴尬	awkward; embarrassed
平衡	balance; equilibrium
生存	to exist; to survive
告诫	to warn; to admonish
胜利	victory; CL:個|个[ge4]
奇妙	fantastic; wonderful
士兵	soldier; CL:個|个[ge4]
根源	origin; root (cause)
树林	woods; grove; forest
熟人	acquaintance; friend
书桌	desk; CL:張|张[zhang1]
输出	to export; to output
挑选	to choose; to select
照相	to take a photograph
痕迹	vestige; mark; trace
无限	unlimited; unbounded
探索	to explore; to probe
违规	to violate the rules
賣家秀	n. The seller’s demo
行李	luggage; CL:件[jian4]
徒弟	apprentice; disciple
混浊	turbid; muddy; dirty
寻找	to seek; to look for
机灵	clever; quick-witted
迎接	to welcome; to greet
寻求	to seek; to look for
延伸	to extend; to spread
以及	as well as; too; and
增长	to grow; to increase
共同话题	mutual chat material
狡猾	crafty; cunning; sly
喵星人	cat (Internet slang)
奖赏	reward; prize; award
野生	wild; undomesticated
赠送	to present as a gift
露营	to camp out; camping
阻止	to prevent; to block
炸药	explosive (material)
注射	injection; to inject
删除	to delete; to cancel
可口	tasty; to taste good
亏待	to treat sb unfairly
自在	comfortable; at ease
总部	general headquarters
总经理	general manager; CEO
藏族	Tibetan ethnic group
幸亏	fortunately; luckily
轮胎	tire; pneumatic tire
蔓延	to extend; to spread
雪山	snow-capped mountain
配音	dubbing (filmmaking)
自私	selfish; selfishness
展示才华	exhibit one's talent
破例	to make an exception
欺骗	to deceive; to cheat
买方	buyer (in contracts)
逝世	to pass away; to die
守护	to guard; to protect
损坏	to damage; to injure
唾弃	to spurn; to disdain
峡谷	canyon; gill; ravine
陷阱	pitfall; snare; trap
羞耻	(a feeling of) shame
严禁	to strictly prohibit
预言	to predict; prophecy
遭殃	to suffer a calamity
瞻仰	to revere; to admire
宗旨	objective; aim; goal
阻拦	to stop; to obstruct
钻石	diamond; CL:顆|颗[ke1]
安静	quiet; peaceful; calm
悲剧	tragedy; CL:齣|出[chu1]
表达	to express; to convey
表扬	to praise; to commend
生日	birthday; CL:個|个[ge4]
重新	again; once more; re-
粗心	careless; thoughtless
传染	to infect; contagious
出租车	taxi; (Tw) rental car
长寿	longevity; long-lived
程度	degree; level; extent
长跑	long-distance running
长远	long-term; long-range
山火	wildfire; forest fire
场馆	sporting venue; arena
变迁	changes; vicissitudes
出汗	to perspire; to sweat
句子	sentence; CL:個|个[ge4]
崇拜	to worship; adoration
回去	to return; to go back
做运动员	to work as an athlete
冠军	champion; CL:個|个[ge4]
光滑	glossy; sleek; smooth
搭档	to cooperate; partner
一年半前	A year and a half ago
电源	electric power source
典礼	ceremony; celebration
档案	file; record; archive
抵抗	to resist; resistance
市中心	city center; downtown
疯狂	crazy; frenzied; wild
尽快	see 儘快|尽快[jin3 kuai4]
高大	tall; lofty; towering
浪费	to waste; to squander
个儿	size; height; stature
叫作	to call; to be called
公正	just; fair; equitable
古老	ancient; old; age-old
富人	rich person; the rich
储备	to store up; reserves
含有	to contain; including
麦克风	microphone (loanword)
触犯	to violate; to offend
工商	industry and commerce
签证	visa; to issue a visa
书店	bookstore; CL:家[jia1]
片面	unilateral; one-sided
国产	domestically produced
果树	fruit tree; CL:棵[ke1]
仍然	still; as before; yet
勤奋	hardworking; diligent
