癌症	/cancer/
跟踪	/to follow sb's tracks/to tail/to shadow/tracking/
耕地	/arable land/to plow land/
更新	/to replace the old with new/to renew/to renovate/to upgrade/to update/to regenerate/
更正	/to correct/to make a correction/
公安局	/public security bureau (government office similar in function to a police station)/
公道	/fair/equitable/
公告	/post/announcement/
公关	/public relations/
公民	/citizen/
公然	/openly/publicly/undisguised/
公认	/publicly known (to be)/accepted (as)/
公式	/formula/
公务	/official business/
公正	/just; fair; equitable/
公证	/notarization/notarized/acknowledgement/
供不应求	/supply does not meet demand/
供给	/to furnish/to provide/supply (as in supply and demand)/
工艺品	/handicraft article/handiwork/CL:個|个[ge4]/
宫殿	/palace/CL:座[zuo4]/
功劳	/contribution/meritorious service/credit/
功效	/efficacy/
攻击	/to attack/to accuse/to charge/an attack (terrorist or military)/
攻克	/to capture/to take/to overcome/to solve/
恭敬	/deferential/respectful/
巩固	/to consolidate/consolidation/to strengthen/
共和国	/republic/
共计	/to sum up to/to total/
共鸣	/(physics) to resonate; resonance/sympathetic response/
勾结	/to collude with/to collaborate with/to gang up with/
钩子	/hook/
构思	/to design/to plot/to plan out/to compose/to draw a mental sketch/conception/plan/idea/composition/
孤独	/lonely/solitary/
孤立	/to isolate/isolated/unrelated; irrelevant/
辜负	/to fail to live up (to expectations)/unworthy (of trust)/to let down/to betray (hopes)/to disappoint/
姑且	/for the time being; tentatively/
古董	/curio/antique/
古怪	/strange/weird/eccentric/bizarre/
股东	/shareholder/stockholder/
股份	/a share (in a company)/stock/
鼓动	/to urge (an activity that may be beneficial, harmful or neutral); to encourage; to agitate; to instigate; to incite/to beat; to flap (wings, a fan etc)/
骨干	/diaphysis (long segment of a bone)/fig. backbone/
固然	/admittedly (it's true that...)/
固体	/solid/
固有	/intrinsic to sth/inherent/native/
固执	/obstinate/stubborn/to fixate on/to cling to/
顾虑	/misgivings; apprehensions/to worry about; to be concerned about/
顾问	/adviser/consultant/
故乡	/home/homeland/native place/CL:個|个[ge4]/
故障	/malfunction/breakdown/defect/shortcoming/fault/failure/impediment/error/bug (in software)/
雇佣	/to employ/to hire/
拐杖	/crutches/crutch/walking stick/
关怀	/care/solicitude/to show care for/concerned about/attentive to/
关照	/to take care/to keep an eye on/to look after/to tell/to remind/
官方	/government/official (approved or issued by an authority)/
观光	/to tour/sightseeing/tourism/
管辖	/to administer/to have jurisdiction (over)/
贯彻	/to implement/to put into practice/to carry out/
灌溉	/to irrigate/
惯例	/convention/usual practice/
光彩	/luster/splendor/radiance/brilliance/
光辉	/radiance/glory/brilliant/magnificent/
光芒	/rays of light/brilliant rays/radiance/
光荣	/honor and glory/glorious/
广阔	/wide/vast/
规范	/norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify/
规格	/standard/norm/specification/
规划	/to draw up a plan; to map out a program/a plan; a program/
规章	/rule; regulation/
归根到底	/after all/in the final analysis/ultimately/
归还	/to return sth/to revert/
轨道	/track (for trains etc)/orbit (of a satellite)/(fig.) a person's established path in life/desired trajectory (of a business or other endeavor)/(audio engineering) track/(quantum mechanics) orbital/
贵族	/lord/nobility/nobleman/noblewoman/aristocrat/aristocracy/
棍棒	/club; staff; stick/
国防	/national defense/
国务院	/State Council (PRC)/State Department (USA)/
果断	/firm/decisive/
过度	/excessive/over-/excess/going too far/extravagant/intemperate/overdue/
过渡	/to cross over (by ferry)/transition/interim/caretaker (administration)/
过奖	/to overpraise/to flatter/
过滤	/to filter/filter/
过失	/error/fault/(law) negligence/delinquency/
过问	/to show an interest in/to get involved with/
过瘾	/to satisfy a craving/to get a kick out of sth/gratifying/immensely enjoyable/satisfying/fulfilling/
过于	/excessively; too/
海拔	/height above sea level/elevation/
海滨	/shore/seaside/
含糊	/ambiguous/vague/careless/perfunctory/
含义	/meaning (implicit in a phrase)/implied meaning/hidden meaning/hint/connotation/
寒暄	/to exchange conventional greetings; to exchange pleasantries/
罕见	/rare/rarely seen/
捍卫	/to defend/to uphold/to safeguard/
航空	/aviation/
航天	/space flight/
航行	/to sail/to fly/to navigate/
行列	/formation/array/(fig.) ranks (as in "join the ranks of ...")/
豪迈	/bold/open-minded/heroic/
毫米	/millimeter/
毫无	/not in the least/to completely lack/
号召	/to call/to appeal/
耗费	/to waste/to spend/to consume/to squander/
和蔼	/kindly/nice/amiable/
和解	/to settle (a dispute out of court)/to reconcile/settlement/conciliation/to become reconciled/
和睦	/peaceful relations/harmonious/
和气	/friendly/polite/amiable/
和谐	/harmonious/harmony/(euphemism) to censor/
合并	/to merge/to annex/
合成	/to compose/to constitute/compound/synthesis/mixture/synthetic/
合伙	/to act jointly/to form a partnership/
合算	/worthwhile/to be a good deal/to be a bargain/to reckon up/to calculate/
痕迹	/vestige/mark/trace/
狠心	/callous; heartless/to resolve (to do sth)/firm resolve (as in 下狠心[xia4 hen3 xin1])/
恨不得	/wishing one could do sth; to hate to be unable; itching to do sth/
轰动	/to cause a sensation/to create a stir in (a place)/commotion/controversy/
宏观	/macro-/macroscopic/holistic/
宏伟	/grand/imposing/magnificent/
洪水	/deluge; flood/
喉咙	/the throat/
后代	/descendant; progeny/posterity; later ages; later generations/
后顾之忧	/fears of trouble in the rear (idiom); family worries (obstructing freedom of action)/worries about the future consequences/often in negative expressions, meaning "no worries about anything"/
后勤	/logistics/
候选	/candidate (attributive)/
忽略	/to neglect; to overlook; to ignore/
呼唤	/to call out (a name etc)/to shout/
呼啸	/to whistle; to scream; to whiz/
呼吁	/to call on (sb to do sth)/to appeal (to)/an appeal/
胡乱	/careless/reckless/casually/absent-mindedly/at will/at random/any old how/
胡须	/beard/CL:根[gen1],綹|绺[liu3]/
湖泊	/lake/
花瓣	/petal/CL:片[pian4]/
花蕾	/bud/flower bud/
华丽	/gorgeous/
华侨	/overseas Chinese/(in a restricted sense) Chinese emigrant who still retains Chinese nationality/CL:個|个[ge4],位[wei4],名[ming2]/
画蛇添足	/lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous/to overdo it/
化肥	/fertilizer/
化石	/fossil/
化验	/chemical examination/to do a lab test/
化妆	/to put on makeup/
划分	/to divide up/to partition/to differentiate/
话筒	/microphone/(telephone) receiver; handset/megaphone/(fig.) mouthpiece; spokesperson/
欢乐	/gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay/
还原	/to restore to the original state/to reconstruct (an event)/reduction (chemistry)/
环节	/(zoology) segment (of the body of a worm, centipede etc)/(fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc/
缓和	/to ease (tension)/to alleviate/to moderate/to allay/to make more mild/
患者	/patient; sufferer/
荒凉	/desolate/
荒谬	/absurd/ridiculous/
荒唐	/beyond belief/preposterous/absurd/intemperate/dissipated/
黄昏	/dusk/evening/nightfall/
皇帝	/emperor/CL:個|个[ge4]/
皇后	/empress/imperial consort/
恍然大悟	/to suddenly realize; to suddenly see the light/
挥霍	/to squander money/extravagant/prodigal/free and easy/agile/
辉煌	/splendid/glorious/
回报	/(in) return/reciprocation/payback/retaliation/to report back/to reciprocate/
回避	/to shun/to avoid (sb)/to skirt/to evade (an issue)/to step back/to withdraw/to recuse (a judge etc)/
回顾	/to look back/to review/
回收	/to recycle/to reclaim/to retrieve/to recover/to recall (a defective product)/
悔恨	/remorse/repentance/
毁灭	/to perish/to ruin/to destroy/
会晤	/to meet/meeting/conference/
汇报	/to report/to give an account of/report/
贿赂	/to bribe/a bribe/
昏迷	/to lose consciousness/to be in a coma/stupor/coma/stunned/disoriented/
浑身	/all over/from head to foot/
混合	/to mix; to blend/hybrid; composite/
混乱	/confusion/chaos/disorder/
混淆	/to obscure/to confuse/to mix up/to blur/to mislead/
混浊	/turbid/muddy/dirty/
活该	/(coll.) serve sb right/deservedly/ought/should/
活力	/energy/vitality/vigor/vital force/
火箭	/rocket/CL:枚[mei2]/
火焰	/blaze/flame/
火药	/gunpowder/
货币	/currency/monetary/money/
基地	/base (of operations)/industrial or military base/al-Qaeda/
基金	/fund/
基因	/gene (loanword)/
机动	/locomotive/motorized/power-driven/adaptable/flexible (use, treatment, timing etc)/
机构	/mechanism/structure/organization/agency/institution/CL:所[suo3]/
机灵	/clever/quick-witted/
机密	/secret/classified (information)/
机械	/machine/machinery/mechanical/(old) cunning/scheming/
机遇	/opportunity/favorable circumstance/stroke of luck/
机智	/quick-witted/resourceful/
激发	/to arouse/to stimulate/(physics) to excite/
激励	/to encourage/to urge/motivation/incentive/
激情	/passion/fervor/enthusiasm/strong emotion/
饥饿	/hunger/starvation/famine/
讥笑	/to sneer/
极端	/extreme/
极限	/limit/extreme boundary/
即便	/even if/even though/right away/immediately/
即将	/on the eve of/to be about to/to be on the verge of/
级别	/(military) rank/level/grade/
疾病	/disease; sickness; ailment/
嫉妒	/to be jealous of; to envy/
及早	/at the earliest possible time; as soon as possible/
急功近利	/seeking instant benefit (idiom); shortsighted vision, looking only for fast return/
急剧	/rapid; sudden/
急切	/eager/impatient/
急于求成	/anxious for quick results (idiom); to demand instant success/impatient for result/impetuous/
急躁	/irritable; irascible/impetuous/
籍贯	/one's native place/place of ancestry/registered birthplace/
集团	/group/bloc/corporation/conglomerate/
吉祥	/lucky/auspicious/propitious/
给予	/(literary) to give; to accord; to render/
寄托	/to entrust (to sb)/to place (one's hope, energy etc) in/a thing in which one invests (one's hope, energy etc)/
继承	/to inherit/to succeed to (the throne etc)/to carry on (a tradition etc)/
记性	/memory (ability to retain information)/
记载	/to write down/to record/written account/
季度	/quarter of a year/season (sports)/
季军	/third in a race/bronze medalist/
计较	/to bother about/to haggle/to bicker/to argue/plan/stratagem/
忌讳	/taboo/to avoid as taboo/to abstain from/
寂静	/quiet/
纪要	/minutes/written summary of a meeting/
技巧	/skill/technique/
迹象	/sign; indication; mark; indicator/
家常	/the daily life of a family/
家伙	/household dish, implement or furniture/domestic animal/(coll.) guy/chap/weapon/
家属	/family member/(family) dependent/
家喻户晓	/understood by everyone (idiom); well known/a household name/
加工	/to process/processing/working (of machinery)/
加剧	/to intensify/
佳肴	/fine food/delicacies/delicious food/
夹杂	/to mix together (disparate substances)/to mingle/a mix/to be tangled up with/
坚定	/firm/steady/staunch/resolute/
坚固	/firm/firmly/hard/stable/
坚韧	/tough and durable/tenacious/
坚实	/firm and substantial/solid/
坚硬	/hard/solid/
监督	/to control/to supervise/to inspect/
监视	/to monitor/to keep a close watch over/surveillance/
监狱	/prison/
尖端	/sharp pointed end/the tip/the cusp/tip-top/most advanced and sophisticated/highest peak/the best/
尖锐	/sharp/intense/penetrating/pointed/acute (illness)/
艰难	/difficult/hard/challenging/
剪彩	/to cut the ribbon (at a launching or opening ceremony)/
检讨	/to examine or inspect/self-criticism/review/
检验	/to inspect/to examine/to test/
简化	/to simplify/
简陋	/simple and crude/
简体字	/simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]/
简要	/concise/brief/
鉴别	/to differentiate; to distinguish/
鉴定	/to appraise/to identify/to evaluate/
鉴于	/in view of/seeing that/considering/whereas/
间谍	/spy/
间隔	/gap/interval/compartment/to divide/to separate/to leave a gap of (two weeks, three meters etc)/
间接	/indirect/
见多识广	/experienced and knowledgeable (idiom)/
见解	/opinion/view/understanding/
见闻	/what one has seen and heard/knowledge/one's experience/
见义勇为	/to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth/acting heroically in a just cause/
健全	/robust/sound/
践踏	/to trample/
舰艇	/warship/naval vessel/
将近	/almost/nearly/close to/
将军	/general/high-ranking military officer/to check or checkmate/fig. to embarrass/to challenge/to put sb on the spot/
将就	/to accept (a bit reluctantly)/to put up with/
僵硬	/stiff; rigid/
奖励	/to reward/reward (as encouragement)/
奖赏	/reward; prize; award/
降临	/to descend/to arrive/to come/
交叉	/to cross/to intersect/to overlap/
交代	/to transfer (duties to sb else)/to give instructions; to tell (sb to do sth)/to explain; to give an account; to brief/to confess; to account for oneself/(jocular) to come to a bad end/
交涉	/to negotiate (with)/to have dealings (with)/
交易	/to deal; to trade; to transact/transaction; deal/CL:筆|笔[bi3]/
焦点	/focal point; focus (lit. and fig.)/
焦急	/anxiety/anxious/
娇气	/delicate/squeamish/finicky/
角落	/nook; corner/
搅拌	/to stir/to agitate/
缴纳	/to pay (taxes etc)/
侥幸	/luckily/by a fluke/
教养	/to educate; to bring up; to nurture/upbringing; breeding; culture/
