"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"采访⠀";"cǎifǎng";"/to interview/to gather news/to hunt for and collect/to cover//to interview/to gather news/to hunt for and collect/to cover";"采 (pick)";"Other words using this character: 采取 (to adopt)";"访 (visit)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个节目采访了一位成功的企业家。";"<i>zhège jiémù cǎifǎng le yīwèi chénggōng de qǐyèjiā.</i><br></br>This program covered an interview with a successful entrepreneur.";"❈ 记者采访了这位著名演员。";"<i>jìzhě cǎifǎng le zhèwèi zhemíngyǎnyuán.</i><br></br>The journalist interviewed this famous actor.";"❈ 他们正在采访当地居民的意见。";"<i>tāmen zhèngzài cǎifǎng dāngdì jūmín de yìjiàn.</i><br></br>They are gathering the opinions of local residents.";"🐇 金光瑶采访了魏无羡的过往。";"<i>jīnguāng yáo cǎifǎng le wèiwúxiàn de guòwǎng.</i><br></br>Jin Guangyao interviewed Wei Wuxian's past.";"♻🐇 蓝忘机对媒体报道保持着高度的警惕，不轻易接受采访。";"<i>lánwàngjī duì méitǐbàodào bǎochí zhe gāodù de jǐngtì, bù qīngyì jiēshòu cǎifǎng.</i><br></br>Lan Wangji maintains a high level of vigilance towards media reports and does not easily accept interviews."
"彩虹⠀";"cǎihóng";"/rainbow/CL:道[dao4]//rainbow/CL:道[dào]";"彩 (color)";"Other words using this character: 精彩 (wonderful); 色彩 (coloring)";"虹 (rainbow)";"There are no other HSK words in this level (or before) using this character.";"❈ 孩子们在天空中看到了彩虹。";"<i>háizi men zài tiānkōng zhōng kàndào le cǎihóng.</i><br></br>The children saw a rainbow in the sky.";"❈ 她画了一道美丽的彩虹。";"<i>tā huà le yīdào měilì de cǎihóng.</i><br></br>She painted a beautiful rainbow.";"❈ 下雨后会出现彩虹。";"<i>xiàyǔ hòu huì chūxiàn cǎihóng.</i><br></br>A rainbow will appear after the rain."
"参与⠀";"cānyù";"/to participate (in sth)//to participate (in sth)";"参 (participate)";"Other words using this character: 参加 (participate); 参观 (visit); 参考 (consultation)";"与 (and)";"Other words using this character: 与 (and); 与其 (rather)";"🐇 金凌热心参与莲花宫的各项活动。";"<i>jīnlíng rèxīn cānyù liánhuā gōng de gèxiàng huódòng.</i><br></br>Jin Ling enthusiastically participates in various activities of the Lanling Jin sect.";"♻❈ 这个活动适合儿童参与。";"<i>zhège huódòng shìhé értóng cānyù.</i><br></br>This activity is suitable for children to participate in.";"♻❈ 大批志愿者参与了清洁活动。";"<i>dàpī zhìyuànzhě cānyù le qīngjié huódòng.</i><br></br>Large quantities of volunteers participated in the cleaning activity.";"♻❈ 大批志愿者参与了这次活动。";"<i>dàpī zhìyuànzhě cānyù le zhècì huódòng.</i><br></br>A large number of volunteers participated in this event.";"♻🐇 蓝忘机从不喜欢参与抗议活动，他更喜欢用行动来改变现状。";"<i>lánwàngjī cóngbù xǐhuan cānyù kàngyì huódòng, tā gēng xǐhuan yòng xíngdòng lái gǎibiànxiànzhuàng.</i><br></br>Lan Wangji never likes to participate in protest activities; he prefers to change the situation through action."
"惭愧⠀";"cánkuì";"/ashamed//ashamed";"惭 (ashamed)";"There are no other HSK words in this level (or before) using this character.";"愧 (ashamed)";"There are no other HSK words in this level (or before) using this character.";"❈ 他因为错误感到惭愧。";"<i>tā yīnwèi cuòwù gǎndào cánkuì.</i><br></br>He feels ashamed for his mistake.";"❈ 他感到很惭愧。";"<i>tā gǎndào hěn cánkuì.</i><br></br>He feels very ashamed.";"❈ 她对自己的行为感到惭愧。";"<i>tā duì zìjǐ de xíngwéi gǎndào cánkuì.</i><br></br>She is ashamed of her behavior.";"🐇 金凌对自己的行为感到惭愧，因为他伤害了蓝曦臣。";"<i>jīnlíngduì zìjǐ de xíngwéi gǎndào cánkuì, yīnwèi tā shānghài le lánxīchén.</i><br></br>Jin Ling felt ashamed of his actions because he hurt Lan Xichen."
"操心⠀";"cāoxīn";"/to worry about//to worry about";"操 (operate)";"Other words using this character: 操场 (playground)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 他不值得你为他操心。";"<i>tā bù zhíde nǐ wéi tā cāoxīn.</i><br></br>He is not worth your concern.";"❈ 她总是为孩子的将来操心。";"<i>tā zǒngshì wéi háizi de jiānglái cāoxīn.</i><br></br>She always worries about the future of her children.";"❈ 不要为这件事情操心。";"<i>bùyào wéi zhèjiàn shìqing cāoxīn.</i><br></br>Don't worry about this matter.";"🐇 温情操心弟弟的安全，总是提醒他注意安全。";"<i>wēnqíng cāoxīn dìdi de ānquán, zǒngshì tíxǐng tā zhùyìānquán.</i><br></br>Wen Qing worries about her younger brother's safety and always reminds him to be careful.";"♻❈ 这个问题用不着你操心。";"<i>zhège wèntí yòngbuzháo nǐ cāoxīn.</i><br></br>You don't need to worry about this problem."
"册⠀";"cè";"/book/booklet/classifier for books//book/booklet/classifier for books";"册 (book)";"Other words using this character: 注册 (register)";"❈ 这是我的册子。";"<i>zhè shì wǒ de cèzi.</i><br></br>This is my book.";"❈ 这是一本很有趣的册子。";"<i>zhèshì yìběn hěn yǒuqù de cèzi.</i><br></br>This is a very interesting booklet.";"❈ 这个册子很薄。";"<i>zhège cèzi hěn bó.</i><br></br>This book is very thin.";"❈ 这是我最喜欢的一册小说。";"<i>zhè shì wǒ zuì xǐhuan de yīcè xiǎoshuō.</i><br></br>This is my favorite book."
"测验⠀";"cèyàn";"/test/to test/CL:次[ci4],個|个[ge4]//test/to test/CL:次[cì],个[gè]";"测 (survey/measure)";"There are no other HSK words in this level (or before) using this character.";"验 (examine)";"Other words using this character: 经验 (experience); 实验 (experiment); 体验 (experience)";"❈ 我需要测验一下我的中文水平。";"<i>wǒ xūyào cèyàn yīxià wǒ de zhōngwén shuǐpíng.</i><br></br>I need to test my Chinese proficiency.";"❈ 这个实验需要进行多次测验。";"<i>zhège shíyàn xūyào jìnxíng duōcì cèyàn.</i><br></br>This experiment needs to be tested multiple times.";"❈ 老师要给我们进行一次测验。";"<i>lǎoshī yào gěi wǒmen jìnxíng yīcì cèyàn.</i><br></br>The teacher is going to give us a test.";"❈ 老师要我们每周进行一次测验。";"<i>lǎoshī yào wǒmen měizhōu jìnxíng yīcì cèyàn.</i><br></br>The teacher wants us to take a test every week."
"曾经⠀";"céngjīng";"/once/already/former/previously/ever/(past tense marker used before verb or clause)//once/already/former/previously/ever/(past tense marker used before verb or clause)";"曾 (once)";"There are no other HSK words in this level (or before) using this character.";"经 (classics)";"Other words using this character: 已经 (already); 经常 (frequently); 经过 (pass); 经理 (manager); 经济 (economy); 经历 (experience); 经验 (experience); 经典 (classic); 经商 (trade); 经营 (engage in)";"❈ 我曾经去过那个城市。";"<i>wǒ céngjīng qùguò nàgè chéngshì.</i><br></br>I have been to that city before.";"❈ 曾经，他是这个公司的总经理。";"<i>céngjīng, tā shì zhège gōngsī de zǒngjīnglǐ.</i><br></br>He was the general manager of this company once.";"❈ 曾经的经历让她变得更加坚强。";"<i>céngjīng de jīnglì ràng tā biànde gèngjiā jiānqiáng.</i><br></br>Her past experiences made her stronger.";"🐇 魏无羡曾经在莲花坞过着快乐的日子。";"<i>wèiwúxiàn céngjīng zài liánhuā wù guò zhe kuàilè de rìzi.</i><br></br>Wei Wuxian once lived happily in Lotus Pier.";"🦝 曾经，这里是一片茂盛的森林。";"<i>céngjīng, zhèlǐ shì yīpiàn màoshèng de sēnlín.</i><br></br>Once, this place was a lush forest."
"差距⠀";"chājù";"/disparity/gap//disparity/gap";"差 (difference)";"Other words using this character: 差 (difference); 差不多 (almost); 出差 (business trip); 时差 (time difference)";"距 (distance)";"Other words using this character: 距离 (distance)";"❈ 他们之间的差距越来越大。";"<i>tāmen zhījiān de chājù yuèláiyuè dà.</i><br></br>The disparity between them is getting bigger.";"❈ 这两个国家之间的差距很大。";"<i>zhè liǎnggè guójiā zhījiān de chājù hěndà.</i><br></br>There is a big gap between these two countries.";"❈ 我们需要缩小城乡差距。";"<i>wǒmen xūyào suōxiǎo chéngxiāng chājù.</i><br></br>We need to narrow the urban-rural gap.";"🐇 蓝忘机和蓝曦臣之间的差距并不是他们之间的隔阂，而是修行道路上的选择。";"<i>lánwàngjī hé lánxīchén zhījiān de chājù bìng bùshì tāmen zhījiān de géhé, érshì xiūxíng dàolù shàng de xuǎnzé.</i><br></br>The disparity between Lan Wangji and Lan Xichen is not a rift between them, but a choice on the path of cultivation.";"♻❈ 富人和穷人之间的差距越来越大。";"<i>fùrén hé qióngrén zhījiān de chājù yuèláiyuè dà.</i><br></br>The gap between the rich and the poor is getting bigger and bigger."
"产品⠀";"chǎnpǐn";"/goods/merchandise/product/CL:個|个[ge4]//goods/merchandise/product/CL:个[gè]";"产 (produce)";"Other words using this character: 财产 (property); 产生 (to arise); 破产 (bankrupt); 生产 (produce)";"品 (product)";"Other words using this character: 日用品 (daily use items); 商品 (commodity); 作品 (work)";"❈ 我们需要推广这个新产品。";"<i>wǒmen xūyào tuīguǎng zhège xīn chǎnpǐn.</i><br></br>We need to promote this new product.";"❈ 这个公司的产品很受欢迎。";"<i>zhège gōngsī de chǎnpǐn hěn shòuhuānyíng.</i><br></br>The products of this company are very popular.";"❈ 这个产品的质量很好。";"<i>zhège chǎnpǐn de zhìliàng hěn hǎo.</i><br></br>The quality of this product is very good.";"🐇 蓝忘机的箫声如天籁之音，成为了音乐界的热门产品。";"<i>lánwàngjī de xiāoshēng rú tiānlài zhīyīn, chéngwéi le yīnlèjiè de rèmén chǎnpǐn.</i><br></br>Lan Wangji's flute music, like the sound of nature, has become a popular product in the music industry.";"♻❈ 这个产品成为了市场的爆款。";"<i>zhège chǎnpǐn chéngwéi le shìchǎng de bàokuǎn.</i><br></br>This product has become a hot item in the market."
"长途⠀";"chángtú";"/long distance//long distance";"长 (length)";"Other words using this character: 长 (length); 校长 (president); 长城 (Great Wall); 长江 (Yangtze River); 生长 (grow); 成长 (grow); 延长 (prolong); 长辈 (elders)";"途 (way)";"Other words using this character: 前途 (prospects); 用途 (use)";"❈ 长途跋涉后，他们终于到达了目的地。";"<i>chángtúbáshè hòu, tāmen zhōngyú dàodá le mùdìdì.</i><br></br>After a long-distance trek, they finally reached their destination.";"❈ 长途电话费用很贵。";"<i>chángtúdiànhuà fèiyòng hěn guì.</i><br></br>Long-distance call charges are expensive.";"❈ 我不喜欢长途旅行。";"<i>wǒ bù xǐhuan chángtúlǚxíng.</i><br></br>I don't like long-distance travel.";"🐇 江澄的身体不适合长途旅行，所以他很少外出。";"<i>jiāngchéng de shēntǐ bù shìhé chángtúlǚxíng, suǒyǐ tā hěnshǎo wàichū.</i><br></br>Jiang Cheng's body is not suitable for long-distance travel, so he rarely goes out.";"🐇 魏无羡和蓝忘机之间的长途恋情令人感动。";"<i>wèiwúxiàn hé lánwàngjī zhījiān de chángtú liànqíng lìngréngǎndòng.</i><br></br>The long-distance love between Wei Wuxian and Lan Wangji is touching."
"抄⠀";"chāo";"/to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms//to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms";"抄 (copy)";"There are no other HSK words in this level (or before) using this character.";"❈ 他抄起了衣服。";"<i>tā chāoqǐ le yīfú.</i><br></br>He grabbed the clothes.";"❈ 警察抄了他的房子。";"<i>jǐngchá chāo le tā de fángzi.</i><br></br>The police raided his house.";"❈ 他抄了我的作业。";"<i>tā chāo le wǒ de zuòyè.</i><br></br>He copied my homework.";"🐇 江澄抄起剑，向魏无羡冲去。";"<i>jiāngchéng chāoqǐ jiàn, xiàng wèiwúxiànchōng qù.</i><br></br>Jiang Cheng grabbed the sword and rushed towards Wei Wuxian.";"♻❈ 她抄写了一本古籍。";"<i>tā chāoxiě le yìběn gǔjí.</i><br></br>She copied an ancient book."
"超级⠀";"chāojí";"/super-/ultra-/hyper-//super-/ultra-/hyper-";"超 (exceed)";"Other words using this character: 超市 (supermarket); 超过 (surpass)";"级 (level)";"Other words using this character: 年级 (grade); 高级 (high level); 初级 (junior)";"❈ 这个超级电脑的性能非常强大。";"<i>zhège chāojí diànnǎo de xìngnéng fēicháng qiángdà.</i><br></br>The performance of this supercomputer is very powerful.";"❈ 这是一家超级市场。";"<i>zhèshì yījiā chāojíshìchǎng.</i><br></br>This is a supermarket.";"❈ 他是一名超级英雄。";"<i>tā shì yīmíng chāojí yīngxióng.</i><br></br>He is a superhero.";"❈ 他是一个超级英雄。";"<i>tā shì yīgè chāojí yīngxióng.</i><br></br>He is a super hero.";"❈ 这个超级市场很大。";"<i>zhège chāojíshìchǎng hěndà.</i><br></br>This super market is very big."
"朝⠀";"cháo||cháo||zhāo";"/morning//abbr. for 朝鮮|朝鲜[Cháo xiǎn] Korea||imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards||morning";"朝 (court)";"There are no other HSK words in this level (or before) using this character.";"❈ 朝霞映照在湖面上。";"<i>cháoxiá yìngzhàozài húmiàn shàng.</i><br></br>The morning glow reflects on the lake.";"❈ 朝阳给人一种温暖的感觉。";"<i>zhāoyáng gěi rén yīzhǒng wēnnuǎn de gǎnjué.</i><br></br>The morning sun gives a warm feeling.";"🐇 蓝忘机每天朝练剑。";"<i>lánwàngjī měitiān cháoliàn jiàn.</i><br></br>Lan Wangji practices swordsmanship every morning.";"♻❈ 他朝我这边走过来。";"<i>tā cháo wǒ zhèbiān zǒu guòlái.</i><br></br>He walked over to me.";"♻❈ 这个朝代的历史非常悠久。";"<i>zhège cháodài de lìshǐ fēicháng yōujiǔ.</i><br></br>The history of this dynasty is very long."
"炒⠀";"chǎo";"/to sauté; to stir-fry/to speculate (in real estate etc); to scalp/to hype up/to sack; to fire (sb)//to sauté; to stir-fry/to speculate (in real estate etc); to scalp/to hype up/to sack; to fire (sb)";"炒 (stir-fry)";"There are no other HSK words in this level (or before) using this character.";"❈ 老板炒了他。";"<i>lǎobǎn chǎo le tā.</i><br></br>The boss fired him.";"❈ 他在股市上炒股。";"<i>tā zài gǔshì shàng chǎogǔ.</i><br></br>He speculates in the stock market.";"❈ 她会炒菜。";"<i>tā huì chǎocài.</i><br></br>She can stir-fry.";"🐇 蓝曦臣炒股很有一手，他的投资一直很成功。";"<i>lánxīchén chǎogǔ hěn yǒu yīshǒu, tā de tóuzī yīzhí hěn chénggōng.</i><br></br>Lan Xichen is very good at speculating in stocks; his investments have always been successful.";"♻🐇 温情炒菜时喜欢放一些辣椒，让菜更加开胃。";"<i>wēnqíng chǎocài shí xǐhuan fàng yīxiē làjiāo, ràng cài gèngjiā kāiwèi.</i><br></br>Wen Qing likes to add some hot peppers when cooking, making the dishes more appetizing."
"吵架⠀";"chǎojià";"/to quarrel/to have a row/quarrel/CL:頓|顿[dun4]//to quarrel/to have a row/quarrel/CL:顿[dùn]";"吵 (to quarrel)";"Other words using this character: 吵 (to quarrel)";"架 (support)";"Other words using this character: 书架 (bookshelf)";"❈ 他们经常吵架，但是感情很好。";"<i>tāmen jīngcháng chǎojià, dànshì gǎnqíng hěn hǎo.</i><br></br>They often quarrel, but their relationship is good.";"❈ 他们昨天吵架了。";"<i>tāmen zuótiān chǎojià le.</i><br></br>They had a quarrel yesterday.";"❈ 我不喜欢吵架，所以尽量避免冲突。";"<i>wǒ bù xǐhuan chǎojià, suǒyǐ jìnliàngbìmiǎn chōngtū.</i><br></br>I don't like to quarrel, so I try to avoid conflicts.";"🐇 金凌和蓝曦臣从不吵架，总是和睦相处。";"<i>jīnlíng hé lánxīchén cóngbù chǎojià, zǒngshì hémùxiāngchǔ.</i><br></br>Jin Ling and Lan Xichen never quarrel, always getting along harmoniously.";"♻❈ 他们在吵架。";"<i>tāmen zài chǎojià.</i><br></br>They are quarreling."
