"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"表达⠀";"biǎodá";"/to express; to convey//to express; to convey";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance); 表扬 (praise); 表面 (surface); 表情 (expression); 表现 (to show); 代表 (representative); 发表 (publish)";"达 (attain)";"Other words using this character: 发达 (well-developed); 达到 (reach); 到达 (arrive)";"❈ 她用画作表达了自己的情感。";"<i>tā yòng huàzuò biǎodá le zìjǐ de qínggǎn.</i><br></br>She expressed her emotions through painting.";"❈ 表达情感是一门艺术。";"<i>biǎodá qínggǎn shì yīmén yìshù.</i><br></br>Expressing emotions is an art.";"❈ 请用简单的语言表达你的意见。";"<i>qǐng yòng jiǎndān de yǔyánbiǎodá nǐ de yìjiàn.</i><br></br>Please express your opinion in simple language.";"❈ 他用一封信表达了感谢之情。";"<i>tā yòng yīfēngxìn biǎodá le gǎnxiè zhīqíng.</i><br></br>He expressed his gratitude in a letter.";"❈ 她很难表达自己的情感。";"<i>tā hěn nán biǎodá zìjǐ de qínggǎn.</i><br></br>She finds it difficult to express her emotions."
"表面⠀";"biǎomiàn";"/surface/face/outside/appearance//surface/face/outside/appearance";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance); 表扬 (praise); 表达 (express); 表情 (expression); 表现 (to show); 代表 (representative); 发表 (publish)";"面 (face)";"Other words using this character: 前面 (ahead); 后面 (the back); 面条 (noodles); 见面 (meet); 面包 (bread); 对面 (opposite); 方面 (aspect); 面对 (face); 面临 (face); 片面 (one-sided)";"❈ 不要只看表面，要看本质。";"<i>bùyào zhǐ kàn biǎomiàn, yào kàn běnzhì.</i><br></br>Don't just look at the surface, look at the essence.";"❈ 这个问题的表面现象可能会误导人。";"<i>zhège wèntí de biǎomiànxiànxiàng kěnéng huì wùdǎo rén.</i><br></br>The surface phenomenon of this problem may be misleading.";"❈ 他的表面看起来很冷漠，其实内心很善良。";"<i>tā de biǎomiàn kànqǐlai hěn lěngmò, qíshí nèixīn hěn shànliáng.</i><br></br>He looks very indifferent on the surface, but he is actually very kind-hearted.";"❈ 她的表面笑容掩饰不住内心的伤痛。";"<i>tā de biǎomiàn xiàoróng yǎnshì bùzhù nèixīn de shāngtòng.</i><br></br>Her smile on the surface cannot conceal the pain in her heart.";"❈ 他的表面看起来很冷静。";"<i>tā de biǎomiàn kànqǐlai hěn lěngjìng.</i><br></br>He looks very calm on the surface."
"表情⠀";"biǎoqíng";"/(facial) expression/to express one's feelings//(facial) expression/to express one's feelings";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance); 表扬 (praise); 表达 (express); 表面 (surface); 表现 (to show); 代表 (representative); 发表 (publish)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 爱情 (romance); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood); 情景 (scene); 情绪 (mood)";"❈ 他的表情透露出内心的痛苦。";"<i>tā de biǎoqíng tòulù chū nèixīn de tòngkǔ.</i><br></br>His expression revealed the inner pain.";"❈ 她的表情很丰富，总是能准确表达自己的情感。";"<i>tā de biǎoqíng hěn fēngfù, zǒngshì néng zhǔnquè biǎodá zìjǐ de qínggǎn.</i><br></br>Her expression is very rich and always accurately expresses her emotions.";"❈ 她的表情让我觉得她很生气。";"<i>tā de biǎoqíng ràng wǒ juéde tā hěn shēngqì.</i><br></br>Her expression made me feel that she was very angry.";"🐇 蓝曦臣的表情总是温和而宽容，给人一种安心的感觉。";"<i>lánxīchén de biǎoqíng zǒngshì wēnhé ér kuānróng, gěi rén yīzhǒng ānxīn de gǎnjué.</i><br></br>Lan Xichen's expression is always gentle and tolerant, giving people a sense of reassurance.";"♻❈ 他的表情充满了悲哀。";"<i>tā de biǎoqíng chōngmǎn le bēiāi.</i><br></br>His expression is full of sorrow."
"表现⠀";"biǎoxiàn";"/to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior//to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance); 表扬 (praise); 表达 (express); 表面 (surface); 表情 (expression); 代表 (representative); 发表 (publish)";"现 (present)";"Other words using this character: 现在 (now); 发现 (discover); 出现 (to appear); 现金 (cash); 现象 (phenomenon); 实现 (achieve); 体现 (embody); 现代 (modern era); 现实 (reality)";"❈ 这种行为不符合我们的表现要求。";"<i>zhèzhǒng xíngwéi bù fúhé wǒmen de biǎoxiàn yāoqiú.</i><br></br>This behavior does not meet our performance requirements.";"❈ 他在比赛中表现出色。";"<i>tā zài bǐsài zhōng biǎoxiànchūsè.</i><br></br>He performed exceptionally well in the competition.";"❈ 她的表现引起了老板的注意。";"<i>tā de biǎoxiàn yǐnqǐ le lǎobǎn de zhùyì.</i><br></br>Her performance caught the attention of the boss.";"🐇 魏无羡在战斗中表现出了非凡的勇气和智慧。";"<i>wèiwúxiàn zài zhàndòu zhōng biǎoxiàn chū le fēifán de yǒngqì hé zhìhuì.</i><br></br>Wei Wuxian showed extraordinary courage and wisdom in the battle.";"♻🐇 蓝忘机的表现有些反常，让人感到困惑。";"<i>lánwàngjī de biǎoxiàn yǒuxiē fǎncháng, ràng rén gǎndào kùnhuò.</i><br></br>Lan Wangji's behavior is a bit abnormal, which is confusing."
"冰激凌⠀";"bīngjīlíng";"/ice cream//ice cream";"冰 (ice)";"Other words using this character: 冰箱 (refrigerator)";"激 (arouse)";"Other words using this character: 激动 (excite); 刺激 (stimulate); 感激 (grateful); 激烈 (intense)";"凌 (to approach)";"There are no other HSK words in this level (or before) using this character.";"❈ 夏天吃冰激凌最解暑了。";"<i>xiàtiān chī bīngjīlíng zuì jiěshǔ le.</i><br></br>Eating ice cream in the summer is the most refreshing.";"❈ 这家店的冰激凌非常好吃。";"<i>zhèjiā diàn de bīngjīlíng fēicháng hàochī.</i><br></br>The ice cream in this shop is very delicious.";"❈ 他喜欢吃巧克力口味的冰激凌。";"<i>tā xǐhuan chī qiǎokèlì kǒuwèi de bīngjīlíng.</i><br></br>He likes to eat chocolate-flavored ice cream.";"🐇 魏无羡喜欢吃草莓口味的冰激凌。";"<i>wèiwúxiàn xǐhuan chī cǎoméi kǒuwèi de bīngjīlíng.</i><br></br>Wei Wuxian likes to eat strawberry-flavored ice cream."
"玻璃⠀";"bōli";"/glass/CL:張|张[zhang1],塊|块[kuai4]/(slang) male homosexual//glass/CL:张[zhāng],块[kuài]/(slang) male homosexual";"玻 (glass)";"There are no other HSK words in this level (or before) using this character.";"璃 (glaze)";"There are no other HSK words in this level (or before) using this character.";"❈ 他不小心打破了玻璃。";"<i>tā bù xiǎoxīn dǎpò le bōli.</i><br></br>He accidentally broke the glass.";"❈ 这个杯子是玻璃做的。";"<i>zhège bēizi shì bōli zuò de.</i><br></br>This cup is made of glass.";"❈ 玻璃的特性使得它成为了常见的建筑材料。";"<i>bōli de tèxìng shǐde tā chéngwéi le chángjiàn de jiànzhùcáiliào.</i><br></br>The characteristics of glass make it a common building material.";"🐇 金凌喜欢收集各种玻璃工艺品。";"<i>jīnlíng xǐhuan shōují gèzhǒng bōli gōngyìpǐn.</i><br></br>Jin Ling likes to collect various glass crafts.";"♻❈ 他把水倒进了一个玻璃瓶子里。";"<i>tā bǎ shuǐ dǎo jìn le yīgè bōlipíng zilǐ.</i><br></br>He poured the water into a glass bottle."
"博物馆⠀";"bówùguǎn";"/museum//museum";"博 (ample)";"Other words using this character: 博士 (doctor)";"物 (thing)";"Other words using this character: 动物 (animal); 礼物 (gift); 购物 (shopping); 植物 (plant); 宠物 (house pet); 人物 (person); 事物 (thing); 物质 (matter); 食物 (food); 物理 (physics)";"馆 (building)";"Other words using this character: 宾馆 (hotel); 图书馆 (library); 大使馆 (embassy)";"❈ 我们去了当地的博物馆参观。";"<i>wǒmen qù le dāngdì de bówùguǎn cānguān.</i><br></br>We went to visit the local museum.";"❈ 这个博物馆收藏了很多珍贵的文物。";"<i>zhège bówùguǎn shōucáng le hěnduō zhēnguì de wénwù.</i><br></br>This museum has a lot of precious cultural relics.";"❈ 博物馆里的展品吸引了很多游客。";"<i>bówùguǎn lǐ de zhǎnpǐn xīyǐn le hěnduō yóukè.</i><br></br>The exhibits in the museum attracted many tourists.";"🐇 金凌和蓝曦臣一起参观了博物馆，对历史产生了浓厚的兴趣。";"<i>jīnlíng hé lánxīchén yīqǐ cānguān le bówùguǎn, duì lìshǐ chǎnshēng le nónghòu de xìngqù.</i><br></br>Jin Ling and Lan Xichen visited the museum together, developing a strong interest in history.";"♻❈ 这个博物馆陈列了很多古代艺术品。";"<i>zhège bówùguǎn chénliè le hěnduō gǔdài yìshùpǐn.</i><br></br>This museum displays many ancient artworks."
"不断⠀";"bùduàn";"/unceasing/uninterrupted/continuous/constant//unceasing/uninterrupted/continuous/constant";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"断 (break)";"Other words using this character: 判断 (judge); 断 (break); 诊断 (diagnose)";"❈ 他的努力不断，最终取得了成功。";"<i>tā de nǔlì bùduàn, zuìzhōng qǔdé le chénggōng.</i><br></br>His efforts were continuous and eventually led to success.";"❈ 这个机器不断地在工作。";"<i>zhège jīqì bùduàn dì zài gōngzuò.</i><br></br>This machine is constantly working.";"❈ 他们的抱怨不断，让人感到厌烦。";"<i>tāmen de bàoyuàn bùduàn, ràng rén gǎndào yànfán.</i><br></br>Their complaints are constant and annoying.";"🐇 魏无羡的笑声不断响起，让人觉得温暖而安心。";"<i>wèiwúxiàn de xiàoshēng bùduàn xiǎngqǐ, ràng rén juéde wēnnuǎn ér ānxīn.</i><br></br>Wei Wuxian's laughter continues unceasingly, making people feel warm and reassured.";"♻❈ 云的形状在不断地变化。";"<i>yún de xíngzhuàng zài bùduàn dì biànhuà.</i><br></br>The shape of the cloud is constantly changing."
"不见得⠀";"bùjiànde";"/not necessarily/not likely//not necessarily/not likely";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"见 (to see)";"Other words using this character: 再见 (goodbye); 看见 (see); 见面 (meet); 意见 (opinion); 可见 (it is clear)";"得 (obtain)";"Other words using this character: 得 (obtain); 觉得 (feel); 记得 (remember); 不得不 (have to); 得意 (proud); 获得 (obtain); 来得及 (in time); 值得 (worth); 怪不得 (no wonder); 舍不得 (hate to part with)";"❈ 这个计划不见得会成功。";"<i>zhège jìhuà bùjiànde huì chénggōng.</i><br></br>This plan may not necessarily be successful.";"❈ 他的话不见得是真的。";"<i>tā dehuà bùjiànde shì zhēnde.</i><br></br>His words may not necessarily be true.";"❈ 她的意见不见得会被采纳。";"<i>tā de yìjiàn bùjiànde huì bèi cǎinà.</i><br></br>Her opinion may not necessarily be adopted.";"🐇 蓝曦臣的判断不见得是绝对正确的，我们需要多方考虑。";"<i>lánxīchén de pànduàn bùjiànde shì juéduì zhèngquè de, wǒmen xūyào duōfāng kǎolǜ.</i><br></br>Lan Xichen's judgment may not necessarily be absolutely correct, so we need to consider it from various angles."
"不耐烦⠀";"bùnàifán";"/impatient/to lose patience//impatient/to lose patience";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"耐 (endure)";"Other words using this character: 耐心 (patience)";"烦 (vexed)";"Other words using this character: 烦恼 (worries); 麻烦 (trouble)";"❈ 他等得有点不耐烦了。";"<i>tā děng dé yǒudiǎn bùnàifán le.</i><br></br>He's getting a little impatient waiting.";"❈ 我不耐烦地等着他的回答。";"<i>wǒ bùnàifán dì děng zhe tā de huídá.</i><br></br>I impatiently waited for his answer.";"❈ 她对等待感到不耐烦。";"<i>tā duì děngdài gǎndào bùnàifán.</i><br></br>She is impatient with waiting.";"🐇 金凌不耐烦地等待着舅舅带他去玩。";"<i>jīnlíng bùnàifán dì děngdài zhe jiùjiu dài tā qù wán.</i><br></br>Jin Ling impatiently waits for his uncle to take him out to play.";"♻🐇 金凌的手势透露出他的不耐烦。";"<i>jīnlíng de shǒushì tòulù chū tā de bùnàifán.</i><br></br>Jin Ling's gestures reveal his impatience."
"补充⠀";"bǔchōng";"/to replenish/to supplement/to complement/additional/supplementary/CL:個|个[ge4]//to replenish/to supplement/to complement/additional/supplementary/CL:个[gè]";"补 (repair)";"There are no other HSK words in this level (or before) using this character.";"充 (fill)";"Other words using this character: 充分 (ample); 充电器 (battery charger); 充满 (full)";"❈ 这份报告需要补充一些数据。";"<i>zhèfèn bàogào xūyào bǔchōng yīxiē shùjù.</i><br></br>This report needs to be supplemented with some data.";"❈ 他的观点是对的，但我想补充一点。";"<i>tā de guāndiǎn shì duì de, dàn wǒ xiǎng bǔchōng yīdiǎn.</i><br></br>His point of view is correct, but I would like to add a little.";"❈ 老师在课上补充了一些重要的知识点。";"<i>lǎoshī zài kèshàng bǔchōng le yīxiē zhòngyào de zhīshídiǎn.</i><br></br>The teacher supplemented some important key points in the class.";"🐇 温情补充了药物，帮助温宁康复。";"<i>wēnqíng bǔchōng le yàowù, bāngzhù wēnníng kāngfù.</i><br></br>Wen Qing supplemented the medicine to help Wen Ning recover.";"♻❈ 医生让他挂吊瓶来补充营养。";"<i>yīshēng ràng tā guà diàopíng lái bǔchōng yíngyǎng.</i><br></br>The doctor asked him to hang an IV bag to replenish nutrients."
"不然⠀";"bùrán";"/not so/no/or else/otherwise/if not/How about ...?//not so/no/or else/otherwise/if not/How about ...?";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"然 (correct)";"Other words using this character: 当然 (certainly); 然后 (Then); 突然 (sudden); 既然 (since); 竟然 (unexpectedly); 然而 (however); 仍然 (still); 自然 (natural); 必然 (inevitable); 显然 (clearly)";"❈ 我们得赶快走，不然会迟到的。";"<i>wǒmen dé gǎnkuài zǒu, bùrán huì chídào de.</i><br></br>We need to leave quickly, or else we will be late.";"❈ 你不去，不然我也不去。";"<i>nǐ bù qù, bùrán wǒ yě bù qù.</i><br></br>If you don't go, then I won't go either.";"❈ 你要好好学习，不然就会后悔的。";"<i>nǐ yào hǎohǎoxuéxí, bùrán jiù huì hòuhuǐ de.</i><br></br>You should study hard, otherwise you will regret it.";"🐇 魏无羡不然，我们就去找些好吃的吧。";"<i>wèiwúxiàn bùrán, wǒmen jiù qù zhǎoxiē hàochī de bā.</i><br></br>How about we go find something delicious, Wei Wuxian?";"♻❈ 幸亏你提醒我，不然我就忘了。";"<i>xìngkuī nǐ tíxǐng wǒ, bùrán wǒ jiù wàng le.</i><br></br>Fortunately, you reminded me, otherwise I would have forgotten."
"不足⠀";"bùzú";"/insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not//insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"足 (foot)";"Other words using this character: 踢足球 (play football); 满足 (satisfy)";"❈ 他的能力还不足以胜任这个工作。";"<i>tā de nénglì hái bùzúyǐ shèngrèn zhège gōngzuò.</i><br></br>His ability is not yet sufficient for this job.";"❈ 这个计划存在很多不足。";"<i>zhège jìhuà cúnzài hěnduō bùzú.</i><br></br>This plan has many deficiencies.";"❈ 不足之处需要改进。";"<i>bùzúzhīchù xūyào gǎijìn.</i><br></br>Deficiencies need to be improved.";"🐇 温情对魏无羡的爱永远不会不足。";"<i>wēnqíng duì wèiwúxiàn de ài yǒngyuǎn bùhuì bùzú.</i><br></br>Wen Qing's love for Wei Wuxian will never be insufficient.";"♻❈ 她指出了这个方案的不足之处。";"<i>tā zhǐchū le zhège fāngàn de bùzúzhīchù.</i><br></br>She pointed out the shortcomings of this plan."
"部门⠀";"bùmén";"/department/branch/section/division/CL:個|个[ge4]//department/branch/section/division/CL:个[gè]";"部 (department)";"Other words using this character: 部分 (part); 全部 (whole); 俱乐部 (club); 内部 (interior)";"门 (gate)";"Other words using this character: 门 (gate); 专门 (specialized)";"❈ 这个部门负责生产和销售。";"<i>zhège bùmén fùzé shēngchǎn hé xiāoshòu.</i><br></br>This department is responsible for production and sales.";"❈ 我在公司的人力资源部门工作。";"<i>wǒ zài gōngsī de rénlìzīyuánbù mén gōngzuò.</i><br></br>I work in the human resources department of the company.";"❈ 他是这个部门的经理。";"<i>tā shì zhège bùmén de jīnglǐ.</i><br></br>He is the manager of this department.";"🐇 蓝曦臣的部门负责修真界的音乐教育。";"<i>lánxīchén de bùmén fùzé xiūzhēnjiè de yīnlèjiàoyù.</i><br></br>Lan Xichen's department is in charge of the musical education in the cultivation world.";"♻❈ 他们计划将两个部门合并。";"<i>tāmen jìhuà jiàng liǎnggè bùmén hébìng.</i><br></br>They plan to merge two departments."
