"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"大约⠀";"dàyuē";"/approximately/probably//approximately/probably";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大使馆 (embassy); 大夫 (doctor)";"约 (approximately)";"Other words using this character: 节约 (economize); 约会 (appointment)";"🐇 金凌大约会在明天早上离开云深不知处。";"<i>jīnlíng dàyuē huì zài míngtiān zǎoshang líkāi yúnshēn bùzhī chù.</i><br></br>Jin Ling will probably leave the Cloud Recesses tomorrow morning.";"🐇 魏无羡大约在午夜时分回到了莲花坞。";"<i>wèiwúxiàn dàyuē zài wǔyè shífēn huídào le liánhuā wù.</i><br></br>Wei Wuxian probably returned to Lotus Pier around midnight.";"♻🦝 浣熊的年龄大约在两到三岁之间。";"<i>huànxióng de niánlíng dàyuē zài liǎngdào sānsuì zhījiān.</i><br></br>The raccoon's age is approximately between two and three years old.";"♻❈ 平均来说，这个项目需要大约两个月的时间。";"<i>píngjūn láishuō, zhège xiàngmù xūyào dàyuē liǎnggè yuè de shíjiān.</i><br></br>On average, this project takes about two months.";"♻❈ 这条行程需要花费大约两个小时。";"<i>zhè tiáo xíngchéng xūyào huāfèi dàyuē liǎnggè xiǎoshí.</i><br></br>This route takes about two hours.";"♻❈ 一杯水大约是两百五十毫升。";"<i>yībēi shuǐ dàyuē shì liǎngbǎiwǔshí háoshēng.</i><br></br>A cup of water is about two hundred and fifty milliliters."
"戴⠀";"dài";"/to put on or wear (glasses, hat, gloves etc)/to respect/to bear/to support//to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support; surname Dai";"戴 (put on)";"There are no other HSK words in this level (or before) using this character.";"❈ 我戴着手套去了户外。";"<i>wǒ dài zhe shǒutào qù le hùwài.</i><br></br>I wore gloves to go outdoors.";"❈ 他戴着一副眼镜。";"<i>tā dài zhe yīfù yǎnjìng.</i><br></br>He is wearing a pair of glasses.";"❈ 她戴着一顶帽子。";"<i>tā dài zhe yīdǐng màozi.</i><br></br>She is wearing a hat.";"🐇 蓝忘机戴着他的头箍，神情庄重。";"<i>lánwàngjī dài zhe tā de tóugū, shénqíng zhuāngzhòng.</i><br></br>Lan Wangji wears his forehead ribbon with a solemn expression.";"🐇 魏无羡戴着他的魔法道具，开始了新一轮的实验。";"<i>wèiwúxiàn dài zhe tā de mófǎ dàojù, kāishǐ le xīnyīlún de shíyàn.</i><br></br>Wei Wuxian put on his magical tools and started a new round of experiments."
"大夫⠀";"dàfū||dàifu";"/doctor/physician//senior official (in imperial China)||doctor; physician";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大使馆 (embassy); 大约 (approximately)";"夫 (husband)";"Other words using this character: 丈夫 (husband); 功夫 (skill)";"❈ 他是一位很有经验的大夫。";"<i>tā shì yīwèi hěn yǒu jīngyàn de dàfū.</i><br></br>He is a very experienced doctor.";"❈ 这家医院有很多好大夫。";"<i>zhèjiā yīyuàn yǒu hěnduō hǎo dàfū.</i><br></br>This hospital has many good doctors.";"❈ 我需要去看一下大夫。";"<i>wǒ xūyào qù kàn yīxià dàfū.</i><br></br>I need to go see a doctor.";"🐇 蓝忘机对待病患总是像一位大夫一样，细心呵护。";"<i>lánwàngjī duìdài bìnghuàn zǒngshì xiàng yīwèi dàfū yīyàng, xìxīn hēhù.</i><br></br>Lan Wangji always takes care of the patients like a doctor, being attentive and caring.";"🐇 江澄对待伤员总是像一位大夫一样细心呵护。";"<i>jiāngchéng duìdài shāngyuán zǒngshì xiàng yīwèi dàfū yīyàng xìxīn hēhù.</i><br></br>Jiang Cheng always takes care of the wounded like a doctor, being attentive and caring.";"♻❈ 他是一位大夫。";"<i>tā shì yīwèi dàfū.</i><br></br>He is a doctor."
"当⠀";"dāng||dāng||dàng";"/at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)//(onom.) dong; ding dong (bell)||to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at||at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student)";"当 (manage)";"Other words using this character: 当然 (certainly); 当时 (at once)";"❈ 他当了老师很多年。";"<i>tā dāng le lǎoshī hěnduōnián.</i><br></br>He has been a teacher for many years.";"❈ 这个位置正当合适。";"<i>zhège wèizhi zhèngdàng héshì.</i><br></br>This position is just right.";"❈ 当你需要帮助时，我会在你身边。";"<i>dāng nǐ xūyào bāngzhù shí, wǒhuì zài nǐ shēnbiān.</i><br></br>I will be by your side when you need help.";"🐇 蓝忘机当年的才情令人敬佩。";"<i>lánwàngjī dàngnián de cáiqíng lìngrén jìngpèi.</i><br></br>Lan Wangji's talent in his youth was admirable.";"🐇 江澄当了一名好哥哥。";"<i>jiāngchéngdāng le yīmíng hǎo gēge.</i><br></br>Jiang Cheng became a good older brother.";"♻❈ 小心那个骗子，不要上当。";"<i>xiǎoxīn nàgè piànzi, bùyào shàngdàng.</i><br></br>Be careful of that swindler, don't be fooled."
"当时⠀";"dāngshí||dàngshí";"/at once/right away//then; at that time; while||at once; right away";"当 (manage)";"Other words using this character: 当然 (certainly); 当 (manage)";"时 (time)";"Other words using this character: 时候 (time); 小时 (hour); 时间 (time); 按时 (on time); 及时 (timely); 平时 (ordinarily); 同时 (simultaneously); 暂时 (temporary); 准时 (on time)";"❈ 当时的情况非常紧急。";"<i>dàngshí de qíngkuàng fēicháng jǐnjí.</i><br></br>The situation was very urgent at that time.";"❈ 我当时就知道这件事情会发生。";"<i>wǒ dàngshí jiù zhīdào zhèjiàn shìqing huì fāshēng.</i><br></br>I knew it would happen right away.";"❈ 当时我没有意识到这个问题的严重性。";"<i>dàngshí wǒ méiyǒu yìshí dào zhège wèntí de yánzhòngxìng.</i><br></br>I didn't realize the seriousness of the problem at that time."
"刀⠀";"dāo";"/knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs//knife; blade; single-edged sword; cutlass; (slang) dollar (loanword); classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs; surname Dao; CL:把[bǎ]";"刀 (knife)";"There are no other HSK words in this level (or before) using this character.";"❈ 他是一名刀客。";"<i>tā shì yīmíng dāokè.</i><br></br>He is a swordsman.";"❈ 他用刀切水果。";"<i>tā yòng dāoqiè shuǐguǒ.</i><br></br>He uses a knife to cut fruit.";"❈ 这把刀很锋利。";"<i>zhè bǎ dāo hěn fēnglì.</i><br></br>This knife is very sharp.";"🐇 温宁手中的刀锋利异常，一刀下去，敌人立刻溃散。";"<i>wēnníng shǒuzhōng de dāo fēnglì yìcháng, yīdāo xiàqù, dírén lìkè kuìsǎn.</i><br></br>Wen Ning's knife is exceptionally sharp. With one slash, the enemy disperses immediately.";"🐇 魏无羡手持忘羡刀，剑光闪闪。";"<i>wèiwúxiàn shǒuchí wàngxiàndāo, jiàn guāngshǎnshǎn.</i><br></br>Wei Wuxian wields the Wangxian sword, its blade shining brightly.";"♻❈ 她用剪刀剪了一段布。";"<i>tā yòng jiǎndāo jiǎn le yīduàn bù.</i><br></br>She cut a piece of cloth with scissors."
"导游⠀";"dǎoyóu";"/tour guide/guidebook/to conduct a tour//tour guide/guidebook/to conduct a tour";"导 (lead)";"There are no other HSK words in this level (or before) using this character.";"游 (to roam)";"Other words using this character: 旅游 (tourism); 游泳 (swimming); 游戏 (game)";"❈ 我想找一本导游书。";"<i>wǒ xiǎng zhǎo yìběn dǎoyóu shū.</i><br></br>I want to find a guidebook.";"❈ 我们的导游很有趣。";"<i>wǒmen de dǎoyóu hěn yǒuqù.</i><br></br>Our tour guide is very interesting.";"❈ 导游带领我们参观了整个城市。";"<i>dǎoyóu dàilǐng wǒmen cānguān le zhěnggè chéngshì.</i><br></br>The tour guide led us to visit the entire city.";"🐇 魏无羡担任导游，为游客讲解魔道历史。";"<i>wèiwúxiàn dānrèn dǎoyóu, wéi yóukè jiǎngjiě mó dào lìshǐ.</i><br></br>Wei Wuxian serves as a tour guide, explaining the history of demonic cultivation to the tourists.";"🐇 蓝曦臣是云深不知处的最佳导游，他对每个景点了如指掌。";"<i>lánxīchén shì yúnshēn bùzhī chù de zuìjiā dǎoyóu, tā duì měige jǐngdiǎn liǎorúzhǐzhǎng.</i><br></br>Lan Xichen is the best tour guide in the Cloud Recesses, knowing every scenic spot like the back of his hand.";"♻🐇 魏无羡和蓝忘机一起做导游，带着游人游览云深不知处。";"<i>wèiwúxiàn hé lánwàngjī yīqǐ zuò dǎoyóu, dài zhe yóurén yóulǎn yúnshēn bùzhī chù.</i><br></br>Wei Wuxian and Lan Wangji work as tour guides, taking tourists to visit the Cloud Recesses."
"倒⠀";"dǎo||dào";"/to invert; to place upside down or frontside back/to pour out/to tip out; to dump/inverted; upside down; reversed/to go backward/contrary to what one might expect; but; yet//to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit||to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet";"倒 (to fall)";"There are no other HSK words in this level (or before) using this character.";"❈ 他的观点和大家的想法正好倒过来。";"<i>tā de guāndiǎn hé dàjiā de xiǎngfǎ zhènghǎo dǎo guòlái.</i><br></br>His views are exactly the opposite of everyone else's.";"❈ 虽然天气预报说不会下雨，但结果却倒下大雨。";"<i>suīrán tiānqìyùbào shuō bùhuì xiàyǔ, dàn jiéguǒ què dǎoxià dàyǔ.</i><br></br>Although the weather forecast said it wouldn't rain, it ended up pouring.";"❈ 他把杯子倒了一下。";"<i>tā bǎ bēizi dǎo le yīxià.</i><br></br>He poured out the cup.";"🐇 蓝曦臣把书倒置在桌子上，开始认真地阅读。";"<i>lánxīchén bǎ shū dàozhì zài zhuōzi shàng, kāishǐ rènzhēn dì yuèdú.</i><br></br>Lan Xichen placed the book upside down on the table and began to read it carefully.";"🐇 金凌把心里的委屈都倒了出来，终于松了口气。";"<i>jīnlíng bǎ xīnli de wěiqu dōu dǎo le chūlái, zhōngyú sōng le kǒuqì.</i><br></br>Jin Ling poured out all the grievances in his heart and finally felt relieved.";"♻❈ 她看到孩子摔倒了，连忙上前扶起。";"<i>tā kàndào háizi shuāidǎo le, liánmáng shàngqián fú qǐ.</i><br></br>She saw the child fall and promptly went to help."
"到处⠀";"dàochù";"/everywhere//everywhere";"到 (to reach)";"Other words using this character: 到 (to reach); 迟到 (late); 遇到 (meet); 到底 (finally); 受到 (receive)";"处 (reside)";"Other words using this character: 好处 (benefit)";"🐇 蓝忘机到处巡视，确保云深不知处的安全。";"<i>lánwàngjī dàochù xúnshì, quèbǎo yúnshēn bùzhī chù de ānquán.</i><br></br>Lan Wangji patrols everywhere to ensure the safety of the Cloud Recesses.";"🐇 蓝曦臣到处奔波，为了处理家族的事务。";"<i>lánxīchén dàochù bēnbō, wèile chǔlǐ jiāzú de shìwù.</i><br></br>Lan Xichen is running around everywhere to handle family matters.";"♻❈ 工厂里到处都是粉末。";"<i>gōngchǎng lǐ dàochù dōu shì fěnmò.</i><br></br>There is dust everywhere in the factory.";"♻❈ 违反规定会受到处罚。";"<i>wéifǎnguīdìng huì shòudào chǔfá.</i><br></br>Violating the regulations will result in punishment.";"♻❈ 屋子里到处都是蜘蛛网。";"<i>wūzilǐ dàochù dōu shì zhīzhūwǎng.</i><br></br>There are cobwebs everywhere in the house.";"♻❈ 触犯了规则会受到处罚。";"<i>chùfàn le guīzé huì shòudào chǔfá.</i><br></br>Violating the rules will result in punishment."
"到底⠀";"dàodǐ";"/finally/in the end/when all is said and done/after all/to the end/to the last//finally/in the end/when all is said and done/after all/to the end/to the last";"到 (to reach)";"Other words using this character: 到 (to reach); 迟到 (late); 遇到 (meet); 到处 (everywhere); 受到 (receive)";"底 (bottom)";"Other words using this character: 底 (bottom)";"❈ 这件事情到底是怎么回事？";"<i>zhèjiàn shìqing dàodǐ shì zěnmehuíshì?</i><br></br>What on earth is the matter with this?";"❈ 这个问题到底该怎么解决呢？";"<i>zhège wèntí dàodǐ gāi zěnme jiějué ne?</i><br></br>How should this problem be solved in the end?";"❈ 他到底还是来了。";"<i>tā dàodǐ háishi lái le.</i><br></br>After all, he came.";"🐇 魏无羡到底选择了忘机。";"<i>wèiwúxiàn dàodǐ xuǎnzé le wàngjī.</i><br></br>Wei Wuxian ultimately chose Wangji.";"🐇 蓝曦臣到底是个很有耐心的人。";"<i>lánxīchén dàodǐ shì gè hěn yǒu nàixīn de rén.</i><br></br>Lan Xichen is, after all, a very patient person.";"♻❈ 我们不能放弃，必须抵抗到底。";"<i>wǒmen bùnéng fàngqì, bìxū dǐkàng dàodǐ.</i><br></br>We can't give up, we must resist to the end."
"道歉⠀";"dàoqiàn";"/to apologize//to apologize";"道 (way)";"Other words using this character: 知道 (know); 街道 (street); 难道 (could it be); 味道 (flavor)";"歉 (apologize)";"Other words using this character: 抱歉 (sorry)";"❈ 他向她道歉了。";"<i>tā xiàng tā dàoqiàn le.</i><br></br>He apologized to her.";"❈ 她没有及时道歉。";"<i>tā méiyǒu jíshí dàoqiàn.</i><br></br>She didn't apologize in time.";"❈ 他的道歉让她感到很欣慰。";"<i>tā de dàoqiàn ràng tā gǎndào hěn xīnwèi.</i><br></br>His apology made her feel relieved.";"🐇 蓝曦臣从不需要向别人道歉，因为他总是谨慎行事。";"<i>lánxīchén cóngbù xūyào xiàng biéren dàoqiàn, yīnwèi tā zǒngshì jǐnshèn xíngshì.</i><br></br>Lan Xichen never needs to apologize to others because he always acts cautiously.";"🐇 温情坦诚地向蓝忘机道歉，希望能得到原谅。";"<i>wēnqíng tǎnchéng dìxiàng lánwàngjī dàoqiàn, xīwàng néng dédào yuánliàng.</i><br></br>Wen Qing sincerely apologized to Lan Wangji, hoping to be forgiven.";"♻❈ 她连忙道歉。";"<i>tā liánmáng dàoqiàn.</i><br></br>She promptly apologized."
"得意⠀";"déyì";"/proud of oneself/pleased with oneself/complacent//proud of oneself/pleased with oneself/complacent";"得 (obtain)";"Other words using this character: 得 (obtain); 觉得 (feel); 记得 (remember); 不得不 (have to); 获得 (obtain); 来得及 (in time); 值得 (worth)";"意 (idea)";"Other words using this character: 意思 (idea); 满意 (satisfied); 同意 (agree); 愿意 (willing); 注意 (pay attention); 故意 (deliberately); 生意 (business); 意见 (opinion); 主意 (plan)";"❈ 他得意地展示着自己的成绩。";"<i>tā déyì dì zhǎnshì zhe zìjǐ de chéngjì.</i><br></br>He proudly displayed his achievements.";"❈ 不要因小成就而得意忘形。";"<i>bùyào yīnxiǎo chéngjiù ér déyìwàngxíng.</i><br></br>Don't be complacent about small achievements.";"❈ 她对自己的表现感到得意。";"<i>tā duì zìjǐ de biǎoxiàn gǎndào déyì.</i><br></br>She is pleased with her performance.";"🐇 江澄得意地展示着他的家族传承。";"<i>jiāngchéng déyì dì zhǎnshì zhe tā de jiāzú chuánchéng.</i><br></br>Jiang Cheng proudly displays his family heritage.";"🐇 魏无羡对自己的魔法技能感到得意。";"<i>wèiwúxiàn duì zìjǐ de mófǎ jìnéng gǎndào déyì.</i><br></br>Wei Wuxian is proud of his magical skills.";"♻❈ 她是这位名医的得意徒弟。";"<i>tā shì zhèwèi míngyī de déyì túdì.</i><br></br>She is the proud disciple of this famous doctor."
"地点⠀";"dìdiǎn";"/place/site/location/venue/CL:個|个[ge4]//place/site/location/venue/CL:个[gè]";"地 (-ly)";"Other words using this character: 地 (-ly); 地方 (area); 地铁 (subway); 地图 (map); 地球 (earth); 地址 (address)";"点 (point)";"Other words using this character: 一点儿 (a little); 点 (point); 缺点 (shortcoming); 特点 (characteristic); 优点 (merit); 重点 (focus)";"❈ 我们的会议地点在这家酒店。";"<i>wǒmen de huìyì dìdiǎn zài zhèjiā jiǔdiàn.</i><br></br>Our meeting place is in this hotel.";"❈ 这个地点非常适合举办婚礼。";"<i>zhège dìdiǎn fēichángshìhé jǔbàn hūnlǐ.</i><br></br>This location is very suitable for holding a wedding.";"❈ 请告诉我活动的地点。";"<i>qǐng gàosu wǒ huódòng de dìdiǎn.</i><br></br>Please tell me the location of the event.";"🐇 金凌在云深不知处的地点发现了一本古籍。";"<i>jīnlíng zài yúnshēn bùzhī chù de dìdiǎn fāxiàn le yìběn gǔjí.</i><br></br>Jin Ling found an ancient book at a hidden location in the Cloud Recesses.";"🐇 江澄找到了蓝曦臣藏书的地点。";"<i>jiāngchéng zhǎodào le lánxīchén cángshū de dìdiǎn.</i><br></br>Jiang Cheng found the location where Lan Xichen hides his books.";"♻❈ 请柬上写着晚会的时间和地点。";"<i>qǐngjiǎn shàng xiě zhe wǎnhuì de shíjiān hé dìdiǎn.</i><br></br>The invitation card has the time and location of the party written on it."
