我	wǒ	/I; me; my/
多么	duōme	/how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent/
饿	è	/hungry/to starve (sb)/
不但……而且……	búdàn…érqiě…	not only…but also…
耳朵	ěrduo	/ear/CL:隻|只[zhi1],個|个[ge4],對|对[dui4]/handle (on a cup)/
发	fā	/hair/Taiwan pr. [fa3]/
发烧	fāshāo	/to have a high temperature (from illness)/to have a fever/
发现	fāxiàn	/to notice; to become aware of/to discover; to find; to detect/a discovery/
方便	fāngbiàn	/convenient; suitable/to facilitate; to make things easy/having money to spare/(euphemism) to relieve oneself/
放	fàng	/to put/to place/to release/to free/to let go/to let out/to set off (fireworks)/
放心	fàngxīn	/to feel relieved/to feel reassured/to be at ease/
分	fēn	/part/share/ingredient/component/
附近	fùjìn	/nearby; neighboring/(in the) vicinity (of); neighborhood/
复习	fùxí	/variant of 復習|复习[fu4 xi2]/
干净	gānjìng	/clean/neat/
感兴趣	gǎnxìngqù	/to be interested/
感冒	gǎnmào	/to catch cold/(common) cold/CL:場|场[chang2],次[ci4]/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand/
刚才	gāngcái	/just now (variant of 剛才|刚才[gang1 cai2])/
个子	gèzi	/height/stature/build/size/
跟	gēn	/heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)/
根据	gēnjù	/according to/based on/basis/foundation/CL:個|个[ge4]/
更	gèng	/more/even more/further/still/still more/
公斤	gōngjīn	/kilogram (kg)/
公园	gōngyuán	/park (for public recreation)/CL:個|个[ge4],座[zuo4]/
故事	gùshi	/narrative; story; tale/
刮风	guāfēng	/to be windy/
关	guān	/mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve/
关系	guānxì	/variant of 關係|关系[guan1 xi5]/
关心	guānxīn	/to be concerned about; to care about/
关于	guānyú	/pertaining to/concerning/with regard to/about/a matter of/
国家	guójiā	/country; nation; state/CL:個|个[ge4]/
过去	guòqù	/(verb suffix)/
过（动词）	guò	pass
还是	háishì	/still (as before)/had better/unexpectedly/or/
害怕	hàipà	/to be afraid; to be scared/
黑板	hēibǎn	/blackboard/CL:塊|块[kuai4],個|个[ge4]/
后来	hòulái	/afterwards; later/newly arrived/
护照	hùzhào	/passport/CL:本[ben3],個|个[ge4]/
花（动词）	huā	spend
花（名词）	huā	flower
画	huà	/to draw; to paint/picture; painting (CL:幅[fu2],張|张[zhang1])/to draw (a line) (variant of 劃|划[hua4])/stroke of a Chinese character (variant of 劃|划[hua4])/(calligraphy) horizontal stroke (variant of 劃|划[hua4])/
坏	huài	/bad/spoiled/broken/to break down/(suffix) to the utmost/
欢迎	huānyíng	/to welcome/welcome/
还（动词）	huán	Return
环境	huánjìng	/environment/circumstances/surroundings/CL:個|个[ge4]/ambient/
换	huàn	/to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency)/
黄河	huánghé	/Yellow River or Huang He/
回答	huídá	/to reply; to answer/reply; answer/
会议	huìyì	/meeting/conference/CL:場|场[chang3],屆|届[jie4]/
或者	huòzhě	/or/possibly; maybe; perhaps/
几乎	jīhū	/almost; nearly; practically/
机会	jīhuì	/opportunity/chance/occasion/CL:個|个[ge4]/
极	jí	/extremely/pole (geography, physics)/utmost/top/
记得	jìde	/to remember/
季节	jìjié	/time/season/period/CL:個|个[ge4]/
检查	jiǎnchá	/inspection/to examine/to inspect/CL:次[ci4]/
简单	jiǎndān	/simple; not complicated/
健康	jiànkāng	/health/healthy/
见面	jiànmiàn	/to meet; to see each other/CL:次[ci4]/
讲	jiǎng	/to speak/to explain/to negotiate/to emphasize/to be particular about/as far as sth is concerned/speech/lecture/
教	jiāo	/religion/teaching/to make/to cause/to tell/
角	jiǎo	/role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale/
脚	jiǎo	/role (variant of 角[jue2])/
接	jiē	/to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/to take over for sb/
街道	jiēdào	/street/CL:條|条[tiao2]/subdistrict/residential district/
结婚	jiéhūn	/to marry/to get married/CL:次[ci4]/
结束	jiéshù	/termination/to finish/to end/to conclude/to close/
节目	jiémù	/program/item (on a program)/CL:臺|台[tai2],個|个[ge4],套[tao4]/
节日	jiérì	/holiday/festival/CL:個|个[ge4]/
解决	jiějué	/to solve; to resolve; to settle (a problem)/to eliminate; to wipe out (an enemy, bandits etc)/
借	jiè	/variant of 借[jie4]/
经常	jīngcháng	/frequently; constantly; regularly; often/day-to-day; everyday; daily/
经过	jīngguò	/to pass/to go through/process/course/CL:個|个[ge4]/
经理	jīnglǐ	/manager/director/CL:個|个[ge4],位[wei4],名[ming2]/
久	jiǔ	/(long) time/(long) duration of time/
旧	jiù	/old/opposite: new 新/former/worn (with age)/
句子	jùzi	/sentence/CL:個|个[ge4]/
决定	juédìng	/to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly/
渴	kě	/thirsty/
可爱	kě’ài	/adorable/cute/lovely/
刻	kè	/quarter (hour)/moment/to carve/to engrave/to cut/oppressive/classifier for short time intervals/
客人	kèrén	/visitor/guest/customer/client/CL:位[wei4]/
空调	kōngtiáo	/air conditioning/air conditioner (including units that have a heating mode)/CL:臺|台[tai2]/
口	kǒu	/mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls/
哭	kū	/to cry; to weep/
裤子	kùzi	/trousers/pants/CL:條|条[tiao2]/
筷子	kuàizi	/chopsticks/CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]/
蓝	lán	/blue/indigo plant/
老	lǎo	/prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough/
离开	líkāi	/to depart; to leave/
礼物	lǐwù	/gift; present/CL:件[jian4],個|个[ge4],份[fen4]/
历史	lìshǐ	/history/CL:門|门[men2],段[duan4]/
脸	liǎn	/face/CL:張|张[zhang1],個|个[ge4]/
聊天	liáotiān	/to chat; to gossip/
练习	liànxí	/to practice/exercise/drill/practice/CL:個|个[ge4]/
辆	liàng	/classifier for vehicles/
了解	liǎojiě	/to understand/to realize/to find out/
邻居	línjū	/neighbor/next door/CL:個|个[ge4]/
留学	liúxué	/to study abroad/
楼	lóu	/house with more than 1 story/storied building/floor/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]/
绿	lǜ	/green/(slang) (derived from 綠帽子|绿帽子[lu:4 mao4 zi5]) to cheat on (one's spouse or boyfriend or girlfriend)/
马	mǎ	/horse/CL:匹[pi3]/horse or cavalry piece in Chinese chess/knight in Western chess/
马上	mǎshàng	/at once/right away/immediately/on horseback (i.e. by military force)/
满意	mǎnyì	/satisfied/pleased/to one's satisfaction/
帽子	màozi	/hat/cap/(fig.) label/bad name/CL:頂|顶[ding3]/
米	mǐ	/rice/CL:粒[li4]/meter (classifier)/
面包	miànbāo	/bread/CL:片[pian4],袋[dai4],塊|块[kuai4]/
明白	míngbai	/clear/obvious/unequivocal/to understand/to realize/
拿	ná	/to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object)/
奶奶	nǎinai	/(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wei4]/(coll.) boobies/breasts/
南	nán	/south/
难	nán	/disaster/distress/to scold/
难过	nánguò	/to feel sad/to feel unwell/(of life) to be difficult/
年级	niánjí	/grade/year (in school, college etc)/CL:個|个[ge4]/
年轻	niánqīng	/young/
鸟	niǎo	/bird/CL:隻|只[zhi1],群[qun2]/"bird" radical in Chinese characters (Kangxi radical 196)/(dialect) to pay attention to/(intensifier) damned/goddamn/
努力	nǔlì	/to make an effort; to try hard; to strive/hard-working; conscientious/
爬山	páshān	/to climb a mountain/to mountaineer/hiking/mountaineering/
盘子	pánzi	/tray/plate/dish/CL:個|个[ge4]/
胖	pàng	/fat/plump/
啤酒	píjiǔ	/beer (loanword)/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]/
皮鞋	píxié	/leather shoes/
瓶子	píngzi	/bottle/CL:個|个[ge4]/
其实	qíshí	/actually; in fact; really/
其他	qítā	/other/(sth or sb) else/the rest/
骑	qí	/to sit astride/to ride (a horse, bike etc)/classifier for saddle horses/
奇怪	qíguài	/strange/odd/to marvel/to be baffled/
起来	qǐlái	/(after a verb) indicating the beginning and continuation of an action or a state/indicating an upward movement (e.g. after 站[zhan4])/indicating completion/(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment/also pr. [qi3 lai5]/
起飞	qǐfēi	/(of an aircraft) to take off/
清楚	qīngchu	/clear/distinct/to understand thoroughly/to be clear about/
请假	qǐngjià	/to request leave of absence/
秋	qiū	/see 鞦韆|秋千[qiu1 qian1]/
裙子	qúnzi	/skirt/CL:條|条[tiao2]/
然后	ránhòu	/then; after that; afterwards/
热情	rèqíng	/cordial/enthusiastic/passion/passionate/passionately/
认为	rènwéi	/to believe; to think; to consider; to feel/
认真	rènzhēn	/conscientious/earnest/serious/to take seriously/to take to heart/
容易	róngyì	/easy; straightforward/likely; liable to; apt to/
如果	rúguǒ	/if/in case/in the event that/
伞	sǎn	/damask silk/variant of 傘|伞[san3]/
上网	shàngwǎng	/to go online/to connect to the Internet/(of a document etc) to be uploaded to the Internet/(tennis, volleyball etc) to move in close to the net/
生气	shēngqì	/to get angry; to be furious/vitality; liveliness/
声音	shēngyīn	/voice/sound/CL:個|个[ge4]/
试	shì	/to test/to try/experiment/examination/test/
世界	shìjiè	/world (CL:個|个[ge4])/
瘦	shòu	/thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive/
舒服	shūfu	/comfortable/feeling well/
叔叔	shūshu	/father's younger brother/uncle/Taiwan pr. [shu2 shu5]/CL:個|个[ge4]/
树	shù	/tree/CL:棵[ke1]/to cultivate/to set up/
数学	shùxué	/mathematics/
刷牙	shuāyá	/to brush one's teeth/
双	shuāng	/two/double/pair/both/even (number)/
水平	shuǐpíng	/level (of achievement etc)/standard/horizontal/
司机	sījī	/chauffeur; driver/
太阳	tàiyáng	/sun/CL:個|个[ge4]/abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]/
特别	tèbié	/unusual; special/very; especially; particularly/expressly; for a specific purpose/(often followed by 是[shi4]) in particular/
疼	téng	/(it) hurts; sore/to love dearly/
提高	tígāo	/to raise/to increase/to improve/
体育	tǐyù	/sports/physical education/
甜	tián	/sweet/
条	tiáo	/strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)/
同事	tóngshì	/colleague; co-worker/CL:個|个[ge4],位[wei4]/
同意	tóngyì	/to agree/to consent/to approve/
头发	tóufa	/hair (on the head)/
突然	tūrán	/sudden; abrupt; unexpected/
图书馆	túshūguǎn	/library/CL:家[jia1],個|个[ge4]/
腿	tuǐ	/hip bone/old variant of 腿[tui3]/
完成	wánchéng	/to complete; to accomplish/
碗	wǎn	/bowl/cup/CL:隻|只[zhi1],個|个[ge4]/
万	wàn	/ten thousand/a great number/
忘记	wàngjì	/to forget/
为	wèi	/variant of 為|为[wei4]/
为了	wèile	/for; for the purpose of; in order to/
位	wèi	/position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)/(physics) potential/
文化	wénhuà	/culture/civilization/cultural/CL:個|个[ge4],種|种[zhong3]/
西	xī	/west/
习惯	xíguàn	/habit/custom/usual practice/to be used to/CL:個|个[ge4]/
洗手间	xǐshǒujiān	/toilet/lavatory/washroom/
洗澡	xǐzǎo	/to bathe/to take a shower/
夏	xià	/summer/
先	xiān	/beforehand; first; earlier/at first; originally/for the time being; for now/(prefix) my late (in referring to deceased relatives older than oneself)/
香蕉	xiāngjiāo	/banana/CL:枝[zhi1],根[gen1],個|个[ge4],把[ba3]/
相信	xiāngxìn	/to believe; to be convinced; to accept as true/
向	xiàng	/variant of 向[xiang4]/direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/
像	xiàng	/to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.)/
小心	xiǎoxīn	/to be careful/to take care/
校长	xiàozhǎng	/(college, university) president/headmaster/CL:個|个[ge4],位[wei4],名[ming2]/
新闻	xīnwén	/news/CL:條|条[tiao2],個|个[ge4]/
新鲜	xīnxiān	/fresh (experience, food etc)/freshness/novel/uncommon/
信用卡	xìnyòngkǎ	/credit card/
行李箱	xínglixiāng	/suitcase/baggage compartment/overhead bin/(car) trunk/boot/
熊猫	xióngmāo	/panda/CL:隻|只[zhi1]/
需要	xūyào	/to need; to want; to demand; to require/needs/
选择	xuǎnzé	/to select; to pick/choice; option; alternative/
要求	yāoqiú	/to request/to require/requirement/to stake a claim/to ask/to demand/CL:點|点[dian3]/
爷爷	yéye	/(coll.) father's father/paternal grandfather/CL:個|个[ge4]/
一定	yídìng	/surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must/
一共	yígòng	/altogether/
一会儿	yíhuìr	/a moment/a while/in a moment/now...now.../also pr. [yi1 hui3 r5]/
一样	yíyàng	/same/like/equal to/the same as/just like/
以前	yǐqián	/before/formerly/previous/ago/
一般	yìbān	/same/ordinary/so-so/common/general/generally/in general/
一边	yìbiān	/one side/either side/on the one hand/on the other hand/doing while/
一直	yìzhí	/straight (in a straight line)/continuously; always; all the way through/
音乐	yīnyuè	/music/CL:張|张[zhang1],曲[qu3],段[duan4]/
银行	yínháng	/bank/CL:家[jia1],個|个[ge4]/
饮料	yǐnliào	/drink/beverage/
应该	yīnggāi	/ought to/should/must/
影响	yǐngxiǎng	/influence/effect/to influence/to affect (usually adversely)/to disturb/CL:股[gu3]/
用	yòng	/to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore/
游戏	yóuxì	/game/CL:場|场[chang3]/to play/
有名	yǒumíng	/famous/well-known/
又	yòu	/(once) again/also/both... and.../and yet/(used for emphasis) anyway/
遇到	yùdào	/to meet; to run into; to come across/
元	yuán	/currency unit (esp. Chinese yuan)/(bound form) first; original; primary/(bound form) basic; fundamental/(bound form) constituent; part/(prefix) meta-/(math.) argument; variable/era (of a reign)/(Tw) (geology) eon/
愿意	yuànyì	/to wish/to want/ready/willing (to do sth)/
月亮	yuèliang	/the moon/
越	yuè	/to exceed/to climb over/to surpass/the more... the more/
站	zhàn	/station/to stand/to halt/to stop/branch of a company or organization/website/
张	zhāng	/to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes/
长（动词）	zhǎng	grow
着急	zháojí	/to worry; to feel anxious/to feel a sense of urgency; to be in a hurry/Taiwan pr. [zhao1 ji2]/
照顾	zhàogù	/to take care of/to show consideration/to attend to/to look after/
照片	zhàopiàn	/photograph/picture/CL:張|张[zhang1],套[tao4],幅[fu2]/
照相机	zhàoxiàngjī	/camera/CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]/
只（量词）	zhī	(measure word)
只（副词）	zhǐ	only
只有……才……	zhǐyǒu…cái…	only if
中文	zhōngwén	/Chinese language/
中间	zhōngjiān	/the middle; the inside/in the middle; within; between; among/during; in the meantime/
终于	zhōngyú	/at last/in the end/finally/eventually/
种	zhǒng	/to plant/to grow/to cultivate/
重要	zhòngyào	/important; significant; major/
周末	zhōumò	/weekend/
主要	zhǔyào	/main; principal; major; primary/
注意	zhùyì	/to take note of; to pay attention to/
自己	zìjǐ	/oneself/one's own/
自行车	zìxíngchē	/bicycle; bike/CL:輛|辆[liang4]/
总是	zǒngshì	/always/
嘴	zuǐ	/mouth/beak/nozzle/spout (of teapot etc)/CL:張|张[zhang1],個|个[ge4]/
最后	zuìhòu	/final/last/finally/ultimate/
